ID,Nom,Portions,Ingrédients
2,Overnight porridge aux graines de chia et fruits rouges,1,"""60|g|flocons d'avoine"",""15|g|graine de chia"",""200|ml|lait végétal"",""100|g|yaourt nature"",""100|g|fruits rouges mélangés"",""1|cuillère à café|sirop d'agave"",""0.5|cuillère à café|cannelle"""
3,Porridge salé aux épinards feta et œuf mollet,1,"""50|g|flocons d'avoine"",""200|ml|lait végétal"",""100|g|épinard"",""50|g|feta"",""1|pièce|œuf"",""1|cuillère à soupe|huile d'olive"",""1|pincée|sel"",""1|pincée|poivre"",""0.5|cuillère à café|cumin"""
6,Pudding de chia au lait de coco et coulis de mangue,1,"""40|g|graine de chia"",""250|ml|lait de coco"",""1|pièce|mangue"",""1|cuillère à soupe|jus de citron"",""1|cuillère à soupe|sirop d'agave"""
7,Granola aux noix de pécan et sirop d'érable,6,"""300|g|flocons d'avoine"",""80|g|noix de pécan"",""50|ml|sirop d'érable"",""25|ml|huile de coco"",""1|cuillère à café|cannelle"",""1|pincée|sel"""
8,Muesli Bircher aux pommes râpées et noisettes,1,"""50|g|flocons d'avoine"",""120|ml|lait"",""1|pièce|pomme"",""1|cuillère à soupe|jus de citron"",""30|g|noisette"",""1|cuillère à soupe|lait concentré sucré"""
9,Pancakes américains fluffy au sirop d'érable,4,"""135|g|farine de blé"",""1|cuillère à café|levure chimique"",""0.5|cuillère à café|sel"",""2|cuillère à soupe|sucre"",""130|ml|lait"",""1|pièce|œuf"",""2|cuillère à soupe|beurre fondu"",""3|cuillère à soupe|sirop d'érable"""
10,Pancakes à la banane sans sucre ajouté,4,"""2|pièce|banane"",""2|pièce|œuf"",""80|g|farine de blé"",""1|cuillère à café|levure chimique"",""0.5|cuillère à café|bicarbonate"",""1|pincée|sel"",""30|ml|lait"""
11,Pancakes salés au saumon fumé et aneth,4,"""150|g|farine de blé"",""1|cuillère à café|levure chimique"",""1|pièce|œuf"",""200|ml|lait"",""1|cuillère à soupe|huile d'olive"",""100|g|saumon fumé"",""2|cuillère à soupe|aneth"",""1|pincée|sel"",""1|pincée|poivre"""
12,Porridge d'avoine pommes et cannelle,1,"""50|g|flocons d'avoine"",""200|ml|lait"",""50|ml|eau"",""1|pièce|pomme"",""1|cuillère à café|cannelle"",""1|cuillère à soupe|sirop d'érable"",""10|g|amande effilée"""
27,Œuf poché sur toast d'avocat,2,"""2|pièce|œuf"",""2|tranche|pain de campagne"",""1|pièce|avocat"",""15|ml|huile d'olive"",""10|ml|vinaigre blanc"",""5|ml|jus de citron"",""1|pincée|sel"",""1|pincée|poivre"",""1|pincée|paprika"""
29,Œufs au plat et bacon grillé,2,"""4|pièce|œuf"",""4|tranche|bacon"",""15|ml|huile d'olive"",""2|tranche|pain de mie"",""1|pincée|sel"",""1|pincée|poivre"""
32,Yaourt grec miel et noix,2,"""400|g|yaourt grec"",""30|ml|miel"",""40|g|cerneaux de noix"",""1|pincée|cannelle"""
36,Huevos Rotos,2,"""4|pièce|œuf"",""400|g|pomme de terre"",""100|g|jambon serrano"",""60|ml|huile d'olive"",""1|pincée|sel"",""1|pincée|poivre"",""1|pincée|paprika"",""5|g|persil"""
37,Pan con Tomate,4,"""4|tranche|pain de campagne"",""3|pièce|tomate"",""2|gousse|ail"",""40|ml|huile d'olive"",""1|pincée|sel"",""1|pincée|poivre"""
38,Shakshuka,4,"""6|pièce|œuf"",""800|g|tomate pelée"",""1|pièce|poivron rouge"",""1|pièce|oignon"",""2|gousse|ail"",""30|ml|huile d'olive"",""5|g|cumin moulu"",""3|g|paprika"",""1|pincée|piment cayenne"",""5|g|sel"",""2|g|poivre"",""10|g|persil"""
39,Full English Breakfast,2,"""4|pièce|œuf"",""4|pièce|saucisse porc"",""4|tranche|bacon"",""200|g|champignon de Paris"",""2|pièce|tomate"",""200|g|haricot blanc sauce tomate"",""2|tranche|pain de mie"",""30|g|beurre"",""1|pincée|sel"",""1|pincée|poivre"""
