source_id,calories_kcal,proteines_g,glucides_g,lipides_g
24999,,4.63,36.6,12.9
25601,,9.15,7.74,4.7
25602,,8.06,6.4,5.3
25605,,2.08,3.95,3.55
25606,,2.68,9.9,8.2
25608,179,4.88,23.7,6.7
25609,130,4.5,8.87,8.3
25614,,5.13,16.1,4.35
25615,,5.7,13.7,8.1
25616,29.9,0.94,3.07,0.7
25619,,5.19,14,9.94
25626,,2.81,7,9.3
25628,,8.13,4.88,10
25629,168,3.79,17.4,8.3
26257,,0.98,6.01,5
26258,,1.29,7.45,4.94
26259,105,0.94,5.78,8.1
26260,,1.1,1.97,11.3
26261,,7,8.9,11.8
26262,,2,1.4,7.1
26263,,4.45,15.8,6.08
26269,,6.4,20.6,7.45
25900,55,3.74,6.6,1.12
25901,30.8,3.09,2.6,0.8
25903,39.4,0.76,5.05,1.56
25904,42.8,3.45,2.88,1.79
25905,34.5,0.86,4.43,1.22
25907,37.1,0.79,4.46,1.51
25908,30.8,1.3,3.86,1
25909,4.8,0.2,0.1,0.4
25910,40.4,1.35,4.93,1.4
25912,48.2,0.81,4.09,3.07
25913,33.2,0.61,3.89,1.41
25914,38.7,0.74,6.27,0.99
25915,62.9,3.75,5.4,2.5
25916,48.8,1.2,5.6,2
25917,30.4,1.2,5.2,0.35
25919,29,0.91,5.09,0.5
25923,29.8,0.97,5.25,0.44
25924,34.3,1.2,5.77,0.55
25925,26.1,0.63,4.84,0.41
25928,27.3,0.99,4.58,0.44
25930,9.05,0.6,1.33,0.15
25932,35.3,0.6,5.14,1.31
25933,37.7,1.1,5.87,0.8
25934,47.8,1.4,6.8,1.4
25935,36.2,0.76,5.79,0.97
25936,37.8,0.65,4.37,1.79
25942,24,0.58,4.37,0.4
25945,35.9,0.67,4.13,1.56
25947,5.58,0.6,0.5,0.13
25948,5.38,0.34,0.65,0.16
25949,21.6,0.63,4.21,0.18
25950,21.3,0.75,3.87,0.25
25953,31.9,2,4.1,0.5
25954,38.3,0.79,5.61,1.24
25955,22.3,0.7,3.4,0.5
25956,31.3,1.14,5.53,0.34
25957,25.1,0.42,3.95,0.8
25958,34,1,5.4,0.8
25962,50.2,1.34,5.09,2.51
25963,33.4,1,3.84,1.32
25964,34.8,0.72,5.31,1.07
25965,56.7,2.68,6.25,1.98
25967,32.8,0.65,3.38,1.62
25968,133,4.6,4.7,10.4
25969,37.4,1.27,4.5,1.37
25972,17.1,1.38,2.18,0.5
8601,116,20.4,0.3,3.68
8602,112,18.4,0.7,3.62
8612,94.1,15.7,0.6,3.2
25001,113,15.4,3.1,4
25033,84.6,8.93,4.17,3.3
25035,,10.5,,13.9
25058,145,9.55,10.2,7.3
25063,108,14.9,0.5,5
25121,133,13,4,7
25125,193,14.5,2.6,13.8
25126,164,23.9,8.8,3.4
25172,104,11.3,3.65,4.6
25174,124,10.6,3.15,6.9
