source_id,calories_kcal,proteines_g,glucides_g,lipides_g,fibres_g,sucres_g,ag_satures_g,ag_monoinsatures_g,ag_polyinsatures_g,cholesterol_mg,calcium_mg,fer_mg,magnesium_mg,phosphore_mg,potassium_mg,sodium_mg,zinc_mg,cuivre_mg,selenium_ug,iode_ug,vitamine_a_ug,beta_carotene_ug,vitamine_d_ug,vitamine_e_mg,vitamine_k_ug,vitamine_c_mg,vitamine_b1_mg,vitamine_b2_mg,vitamine_b3_mg,vitamine_b5_mg,vitamine_b6_mg,vitamine_b9_ug,vitamine_b12_ug
24999,281.0,4.63,36.6,12.9,0.92,23.7,2.18,1.89,1.07,,0.99,0.37,1.32,4.62,0.012,0.0041,0.0051,56.7,75.0,0.15,5.18,4.74,1.68,0.14,0.19,0.083,0.14,0.35,0.55,2.47,178.0,1.45,11.0
25601,109.9,9.15,7.74,4.7,1.79,3.08,0.78,,0.3,,0.12,0.056,1.15,,,0.008,0.039,19.2,20.7,0.1,0.56,1.83,1.76,0.05,0.05,0.05,0.05,0.05,0.008,0.38,731.0,1.1,2.0
25602,105.5,8.06,6.4,5.3,1.5,1.9,0.6,0.2,0.2,,0.04,0.28,1.08,2.24,0.016,0.016,0.15,15.2,22.0,0.07,0.16,3.27,1.54,0.01,0.01,0.01,0.01,0.01,0.01,0.12,584.0,0.7,20.0
25605,56.1,2.08,3.95,3.55,1.65,2.38,1.0,0.3,0.3,,,0.026,,,,,,0.11,27.0,0.17,0.23,0.2,1.67,,,,,,,,,1.06,2.46
25606,124.1,2.68,9.9,8.2,1.95,,,,,,0.37,,,,,,,68.0,19.0,0.12,1.43,2.48,3.74,,,,,0.011,0.013,1.03,,0.65,
25608,179.0,4.88,23.7,6.7,1.52,4.9,1.5,0.2,1.4,0.9,0.15,0.34,1.1,3.95,0.01,0.01,0.01,0.1,24.0,0.16,0.67,4.23,1.45,0.01,0.01,0.01,0.01,0.01,0.01,0.47,647.0,0.88,20.0
25609,130.0,4.5,8.87,8.3,1.74,1.2,0.7,0.2,0.2,0.5,0.2,0.57,1.47,4.57,0.01,0.01,0.01,29.6,13.0,0.07,0.82,5.02,2.04,0.01,0.01,0.01,0.01,0.01,0.01,0.54,709.0,0.43,20.0
25614,124.1,5.13,16.1,4.35,1.49,1.0,,,,,0.12,0.2,1.05,2.23,,,0.013,6.5,23.3,0.1,0.53,2.23,,,,,,0.0042,0.0083,0.36,,0.43,5.0
25615,150.5,5.7,13.7,8.1,1.18,2.3,0.6,,0.1,,,,,,,,,6.0,14.0,0.06,2.37,1.46,3.92,,,,,,,,86.0,0.6,4.0
25616,29.9,0.94,3.07,0.7,0.69,2.27,1.02,0.085,0.085,0.29,0.0074,0.017,0.078,0.21,0.0043,0.0041,0.0041,0.076,25.1,0.048,0.12,0.29,0.095,0.0041,0.0041,0.0041,0.0041,0.0041,0.0037,0.12,44.9,0.42,7.21
25619,166.2,5.19,14.0,9.94,1.4,2.16,0.86,,0.28,,,,,,,0.0023,0.0098,11.3,19.0,0.085,1.74,5.85,1.91,,,,,,,,492.0,0.95,3.13
25626,122.9,2.81,7.0,9.3,1.47,2.3,0.3,0.3,0.3,,,,,,,,,,,,0.7,,,,,,,,,,,,
25628,142.0,8.13,4.88,10.0,1.54,1.71,0.51,0.2,0.6,,0.41,0.39,1.7,4.6,0.01,0.01,0.01,40.7,100.0,0.11,2.36,4.99,2.09,0.08,0.05,0.03,0.06,0.08,0.26,1.26,483.0,0.5,20.0
25629,167.0,3.79,17.4,8.3,1.32,4.61,1.9,0.1,1.72,,0.24,0.25,2.79,3.71,0.01,0.01,0.01,,37.0,0.16,0.92,3.95,3.04,0.01,0.01,0.01,0.01,0.01,0.01,0.58,484.0,1.2,20.0
26257,73.0,0.98,6.01,5.0,1.3,5.2,0.77,0.2,0.23,,,0.24,0.97,,,,,,31.0,,0.43,2.53,1.82,,,,,,,,,,
26258,79.4,1.29,7.45,4.94,1.34,5.3,0.5,0.051,0.1,,,,,,,,,,21.0,,0.37,1.79,1.9,,,,0.12,,,,,4.0,
26259,105.0,0.94,5.78,8.1,1.45,4.72,1.06,0.2,0.2,1.06,0.13,0.66,1.54,4.39,0.01,0.01,0.01,,39.0,0.03,0.63,4.83,2.2,0.01,0.01,0.01,0.01,0.01,0.01,0.41,556.0,1.3,20.0
26260,114.0,1.1,1.97,11.3,1.07,1.39,,,,,,,,,,,,,,,1.35,,,,,,,,,,,,
26261,169.8,7.0,8.9,11.8,0.89,0.9,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,
26262,77.5,2.0,1.4,7.1,1.04,1.4,,,,,,,,,,,,,,,2.7,,,,,,,,,,,,
26263,135.7,4.45,15.8,6.08,1.46,1.35,0.48,,0.3,,,0.3,0.64,,,,,,,,0.63,2.51,0.97,,,,,,,,,,
26269,175.1,6.4,20.6,7.45,1.59,2.48,0.8,0.2,0.7,,0.15,0.42,1.33,3.78,0.01,0.01,0.01,8.24,18.0,0.1,0.86,3.78,1.75,0.01,0.01,0.01,0.01,0.02,0.02,0.57,661.0,0.8,20.0
25900,55.0,3.74,6.6,1.12,1.24,0.7,,,,,0.16,,,,,,,3.0,25.0,0.17,0.45,0.52,0.13,,,,,,0.02,0.27,,1.07,4.0
25901,30.8,3.09,2.6,0.8,1.75,1.2,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,
25903,39.4,0.76,5.05,1.56,1.0,1.72,0.29,0.2,0.2,,0.094,0.0063,0.1,0.44,0.01,0.01,0.01,3.7,14.0,0.02,0.55,0.5,0.11,0.026,0.017,0.0086,0.017,0.026,0.077,0.28,442.0,0.14,20.0
25904,42.8,3.45,2.88,1.79,1.66,0.9,0.3,0.3,0.2,,0.08,0.035,0.13,0.71,0.01,0.035,0.053,30.0,130.0,0.07,0.58,0.93,0.25,0.01,0.01,0.01,0.01,0.01,0.07,0.29,611.0,0.61,70.0
25905,34.5,0.86,4.43,1.22,1.02,1.07,0.2,0.2,0.2,,0.05,0.01,0.081,0.45,0.01,0.01,0.01,2.12,21.0,0.03,0.39,0.45,0.091,0.0045,0.01,0.01,0.01,0.009,0.023,0.3,426.0,0.19,1.0
25907,37.1,0.79,4.46,1.51,0.97,0.81,0.3,0.2,0.2,,0.1,0.09,0.18,0.53,0.01,0.01,0.01,4.73,16.0,0.02,0.6,0.53,0.27,0.032,0.019,0.013,0.025,0.032,0.089,0.28,450.0,0.17,20.0
25908,30.8,1.3,3.86,1.0,1.01,0.77,,,,,0.053,,,,,,,5.0,7.96,0.069,0.49,0.29,0.18,,,,,0.001,0.005,0.2,,0.14,0.5
25909,4.8,0.2,0.1,0.4,1.09,,,,,,,,,,,,,,1.0,,0.2,0.09,0.05,,,,,,,,,0.1,
25910,40.4,1.35,4.93,1.4,1.27,1.5,,,,,0.034,,,,,,,,12.0,0.054,0.55,,0.26,,,,,,,0.069,,0.27,
25912,48.2,0.81,4.09,3.07,1.0,0.91,,,,,0.15,0.01,0.31,0.4,,,,3.3,7.0,0.016,1.58,0.4,0.96,0.014,0.011,0.0087,0.022,0.024,0.092,0.68,490.0,0.09,8.4
25913,33.2,0.61,3.89,1.41,1.05,1.82,,,,,,,,,,,,,15.0,,0.96,0.36,0.029,,,,,,,,,0.3,
25914,38.7,0.74,6.27,0.99,0.98,2.95,0.8,0.2,0.2,,0.063,0.02,0.15,0.28,0.01,0.01,0.01,2.9,11.0,0.03,0.36,0.29,0.3,0.016,0.0079,0.01,0.0079,0.016,0.055,0.2,416.0,0.14,20.0
25915,62.9,3.75,5.4,2.5,1.2,0.9,,,,,,,,,,,,11.0,19.0,0.07,,,,,,,,,,,,0.97,2.0
25916,48.8,1.2,5.6,2.0,1.0,1.7,,,,,0.095,,,,,,,1.5,33.3,0.11,0.6,0.34,0.29,0.03,0.02,0.01,0.02,0.03,0.05,0.2,460.0,0.56,1.0
25917,30.4,1.2,5.2,0.35,1.08,1.2,,,,,,,,,,,,1.0,19.0,0.1,0.2,0.23,0.06,,,,,,,,,0.4,1.0
25919,29.0,0.91,5.09,0.5,1.15,1.06,,,,,,,,,,,,,,,0.14,,,,,,,,,,,,
25923,29.8,0.97,5.25,0.44,0.96,1.21,,,,,,,,,,,,,,,0.17,,,,,,,,,,,,
25924,34.3,1.2,5.77,0.55,1.08,1.49,,,,,,,,,,,,,,,0.23,,,,,,,,,,,,
25925,26.1,0.63,4.84,0.41,0.8,0.91,,,,,,,,,,,,,,,0.2,,,,,,,,,,417.0,,
25928,27.3,0.99,4.58,0.44,0.73,0.55,,,,,,,,,,,,,,,0.17,,,,,,,,,,,,
25930,9.05,0.6,1.33,0.15,1.03,0.33,,,,,0.021,,0.0072,0.068,,,,,5.25,0.041,0.057,0.068,0.0072,,,,,0.00067,0.0048,0.03,,0.15,
25932,35.3,0.6,5.14,1.31,0.91,0.99,,,,,,,,,,,,,,,0.73,,,,,,,,,,,,
25933,37.7,1.1,5.87,0.8,0.77,3.43,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,
25934,47.8,1.4,6.8,1.4,1.04,1.2,,,,,,,,,,,,,12.5,,0.8,,,,,,,,,,,0.29,
25935,36.2,0.76,5.79,0.97,1.03,2.44,0.68,0.2,0.29,,0.033,0.01,0.15,0.41,0.01,0.01,0.01,2.02,11.0,0.03,0.32,0.41,0.16,0.01,0.01,0.01,0.0041,0.0041,0.017,0.26,417.0,0.14,20.0
25936,37.8,0.65,4.37,1.79,1.06,0.63,0.2,0.2,0.2,,0.058,0.01,0.15,0.6,0.01,0.01,0.01,0.87,10.0,0.02,0.73,0.6,0.15,0.01,0.01,0.01,0.01,0.01,0.017,0.66,512.0,0.02,20.0
25942,24.0,0.58,4.37,0.4,1.03,1.3,,,,,,,,,,,,,20.0,0.043,0.23,,,,,,,,,,517.0,,1.0
25945,35.9,0.67,4.13,1.56,0.95,2.37,0.3,0.2,0.2,,0.13,0.018,0.051,0.38,0.01,0.01,0.01,4.95,15.0,0.03,0.88,0.56,0.069,0.045,0.027,0.018,0.036,0.045,0.14,0.44,421.0,0.14,20.0
25947,5.58,0.6,0.5,0.13,1.44,0.18,,,,,0.01,,,,,,,,5.0,,0.083,0.022,0.018,,,,,,,0.02,,0.05,
25948,5.38,0.34,0.65,0.16,1.0,0.19,,,,,,,,,,,,,1.0,,0.14,0.011,0.0067,,,,,,,,,0.1,
25949,21.6,0.63,4.21,0.18,0.88,0.72,0.24,0.2,0.24,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.7,9.1,0.05,0.099,,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,343.0,0.18,20.0
25950,21.3,0.75,3.87,0.25,0.74,0.31,0.2,0.2,0.2,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.72,7.2,0.02,0.081,,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,379.0,0.1,20.0
25953,31.9,2.0,4.1,0.5,0.9,0.25,0.2,,0.2,,,0.1,,,,,,,,,0.2,0.2,0.1,,,,,,,,,,
25954,38.3,0.79,5.61,1.24,0.7,2.64,,,,,,,,,,,,,,,0.61,,,,,,,,,,,,
25955,22.3,0.7,3.4,0.5,0.9,0.5,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,
25956,31.3,1.14,5.53,0.34,0.97,1.07,,,,,,,,,,,,,,,0.02,,,,,,,,,,427.0,,
25957,25.1,0.42,3.95,0.8,0.77,0.31,,,,,,,,,,,,,,,0.42,,,,,,,,,,,,
25958,34.0,1.0,5.4,0.8,0.78,0.9,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,
25962,50.2,1.34,5.09,2.51,0.67,1.62,,,,,,,,,,,,,,,1.58,,,,,,,,,,,,
