object_type,object_name,ddl
FUNCTION,add_harvest_lot,"CREATE OR REPLACE FUNCTION public.add_harvest_lot(p_user_id uuid, p_product_id uuid, p_location_id uuid, p_qty numeric, p_unit text, p_best_before date, p_note text)
 RETURNS uuid
 LANGUAGE plpgsql
 SECURITY DEFINER
AS $function$
declare
  v_id uuid;
begin
  insert into public.pantry_lots(user_id, product_id, location_id, qty, unit, best_before, note)
  values (p_user_id, p_product_id, p_location_id, p_qty, p_unit, p_best_before, p_note)
  returning id into v_id;

  return v_id;
end
$function$
"
FUNCTION,check_canonical_subcategory_match,"CREATE OR REPLACE FUNCTION public.check_canonical_subcategory_match()
 RETURNS trigger
 LANGUAGE plpgsql
AS $function$
DECLARE
  subcat_category BIGINT;
BEGIN
  IF NEW.subcategory_id IS NULL THEN
    RETURN NEW;
  END IF;

  SELECT category_id INTO subcat_category
  FROM reference_subcategories
  WHERE id = NEW.subcategory_id;

  IF subcat_category IS NULL THEN
    RAISE EXCEPTION 'Sous-catégorie inconnue: %', NEW.subcategory_id;
  END IF;

  IF NEW.category_id IS NULL OR NEW.category_id <> subcat_category THEN
    RAISE EXCEPTION 'La sous-catégorie (%) n''appartient pas à la catégorie (%).',
      NEW.subcategory_id, NEW.category_id;
  END IF;

  RETURN NEW;
END;
$function$
"
FUNCTION,cleanup_empty_lots_v2,"CREATE OR REPLACE FUNCTION public.cleanup_empty_lots_v2()
 RETURNS integer
 LANGUAGE plpgsql
AS $function$
DECLARE
    v_deleted_count INTEGER;
BEGIN
    DELETE FROM inventory_lots 
    WHERE qty_remaining <= 0;
    
    GET DIAGNOSTICS v_deleted_count = ROW_COUNT;
    
    RETURN v_deleted_count;
END;
$function$
"
FUNCTION,consume_from_lot,"CREATE OR REPLACE FUNCTION public.consume_from_lot(p_lot_id uuid, p_qty numeric, p_reason text DEFAULT NULL::text)
 RETURNS numeric
 LANGUAGE plpgsql
 SECURITY DEFINER
AS $function$
DECLARE
  remaining NUMERIC;
BEGIN
  UPDATE inventory_lots
  SET qty_remaining = GREATEST(0, COALESCE(qty_remaining, 0) - p_qty)
  WHERE id = p_lot_id
  RETURNING qty_remaining INTO remaining;

  IF NOT FOUND THEN
    RAISE EXCEPTION 'Lot % introuvable', p_lot_id;
  END IF;

  RETURN remaining;
END;
$function$
"
FUNCTION,consume_from_lot,"CREATE OR REPLACE FUNCTION public.consume_from_lot(p_lot_id uuid, p_qty numeric)
 RETURNS numeric
 LANGUAGE plpgsql
 SECURITY DEFINER
AS $function$
DECLARE
  r NUMERIC;
BEGIN
  UPDATE inventory_lots
  SET qty_remaining = GREATEST(0, COALESCE(qty_remaining,0) - p_qty),
      updated_at = NOW()
  WHERE id = p_lot_id
  RETURNING qty_remaining INTO r;

  IF NOT FOUND THEN RAISE EXCEPTION 'Lot % introuvable', p_lot_id; END IF;
  RETURN r;
END; $function$
"
FUNCTION,consume_from_lot,"CREATE OR REPLACE FUNCTION public.consume_from_lot(p_lot_id uuid, p_qty numeric)
 RETURNS numeric
 LANGUAGE plpgsql
 SECURITY DEFINER
AS $function$
DECLARE
  r NUMERIC;
BEGIN
  UPDATE inventory_lots
  SET qty_remaining = GREATEST(0, COALESCE(qty_remaining,0) - p_qty),
      updated_at = NOW()
  WHERE id = p_lot_id
  RETURNING qty_remaining INTO r;

  IF NOT FOUND THEN RAISE EXCEPTION 'Lot % introuvable', p_lot_id; END IF;
  RETURN r;
END; $function$
"
FUNCTION,consume_from_lot,"CREATE OR REPLACE FUNCTION public.consume_from_lot(p_lot_id uuid, p_qty numeric, p_reason text DEFAULT NULL::text)
 RETURNS numeric
 LANGUAGE plpgsql
 SECURITY DEFINER
AS $function$
DECLARE
  remaining NUMERIC;
BEGIN
  UPDATE inventory_lots
  SET qty_remaining = GREATEST(0, COALESCE(qty_remaining, 0) - p_qty)
  WHERE id = p_lot_id
  RETURNING qty_remaining INTO remaining;

  IF NOT FOUND THEN
    RAISE EXCEPTION 'Lot % introuvable', p_lot_id;
  END IF;

  RETURN remaining;
END;
$function$
"
FUNCTION,convert_qty,"CREATE OR REPLACE FUNCTION public.convert_qty(p_from_unit text, p_to_unit text, p_qty numeric)
 RETURNS numeric
 LANGUAGE plpgsql
AS $function$
BEGIN
    RETURN convert_qty_v2(p_from_unit, p_to_unit, p_qty);
END;
$function$
"
FUNCTION,convert_qty_v2,"CREATE OR REPLACE FUNCTION public.convert_qty_v2(p_from_unit text, p_to_unit text, p_qty numeric)
 RETURNS numeric
 LANGUAGE plpgsql
AS $function$
BEGIN
    -- Si les unités sont identiques, retour direct
    IF p_from_unit = p_to_unit THEN
        RETURN p_qty;
    END IF;
    
    -- Conversions de base poids
    IF p_from_unit = 'kg' AND p_to_unit = 'g' THEN
        RETURN p_qty * 1000;
    ELSIF p_from_unit = 'g' AND p_to_unit = 'kg' THEN
        RETURN p_qty / 1000;
        
    -- Conversions de base volume
    ELSIF p_from_unit = 'l' AND p_to_unit = 'ml' THEN
        RETURN p_qty * 1000;
    ELSIF p_from_unit = 'ml' AND p_to_unit = 'l' THEN
        RETURN p_qty / 1000;
        
    -- Conversions courantes
    ELSIF p_from_unit = 'cl' AND p_to_unit = 'ml' THEN
        RETURN p_qty * 10;
    ELSIF p_from_unit = 'ml' AND p_to_unit = 'cl' THEN
        RETURN p_qty / 10;
    END IF;
    
    -- Pas de conversion possible ou unités non supportées
    RETURN p_qty; -- Retourner la quantité originale
END;
$function$
"
FUNCTION,duplicate_recipe,"CREATE OR REPLACE FUNCTION public.duplicate_recipe(source_recipe_id uuid, new_title text DEFAULT NULL::text)
 RETURNS uuid
 LANGUAGE plpgsql
AS $function$
DECLARE
    new_recipe_id uuid;
BEGIN
    -- Copier la recette principale
    INSERT INTO recipes (
        title, steps, time_min, difficulty, tags, category, 
        is_veg, servings, prep_min, cook_min, description, 
        image_url, is_divisible, author
    )
    SELECT 
        COALESCE(new_title, title || ' (copie)'),
        steps, time_min, difficulty, tags, category,
        is_veg, servings, prep_min, cook_min, description,
        image_url, is_divisible, author
    FROM recipes
    WHERE id = source_recipe_id
    RETURNING id INTO new_recipe_id;
    
    -- Copier les ingrédients
    INSERT INTO recipe_ingredients (
        recipe_id, product_id, qty, unit, note, position, is_optional, preparation
    )
    SELECT 
        new_recipe_id, product_id, qty, unit, note, position, is_optional, preparation
    FROM recipe_ingredients
    WHERE recipe_id = source_recipe_id;
    
    -- Copier les ustensiles
    INSERT INTO recipe_utensils (
        recipe_id, utensil_name, quantity, is_optional, notes
    )
    SELECT 
        new_recipe_id, utensil_name, quantity, is_optional, notes
    FROM recipe_utensils
    WHERE recipe_id = source_recipe_id;
    
    -- Copier les étapes
    INSERT INTO recipe_steps (
        recipe_id, step_no, instruction, duration_min, temperature, temperature_unit
    )
    SELECT 
        new_recipe_id, step_no, instruction, duration_min, temperature, temperature_unit
    FROM recipe_steps
    WHERE recipe_id = source_recipe_id;
    
    RETURN new_recipe_id;
END;
$function$
"
