table_name,column_name,data_type,is_nullable,column_default,constraints
archetypes,id,bigint,NO,nextval('archetypes_id_seq'::regclass),PRIMARY KEY
archetypes,name,text,NO,null,
archetypes,origin_kind,text,NO,null,
archetypes,canonical_food_id,bigint,YES,null,FOREIGN KEY -> canonical_foods
archetypes,cultivar_id,bigint,YES,null,FOREIGN KEY -> cultivars
archetypes,process,text,YES,null,
archetypes,shelf_life_days,integer,YES,null,
archetypes,open_shelf_life_days,integer,YES,null,
archetypes,open_shelf_life_unit,text,YES,'days'::text,
archetypes,storage_profile,text,YES,null,
archetypes,created_at,timestamp with time zone,NO,now(),
archetypes,updated_at,timestamp with time zone,NO,now(),
archetypes,notes,text,YES,null,
archetypes,density_g_per_ml,numeric,YES,null,
archetypes,grams_per_unit,numeric,YES,null,
archetypes,primary_unit,character varying,YES,null,
archetypes,nutrition_modifier_id,integer,YES,null,
canonical_food_origins,food_id,bigint,NO,null,PRIMARY KEY
canonical_food_origins,country_id,integer,NO,null,PRIMARY KEY
canonical_food_processes,id,integer,NO,nextval('canonical_food_processes_id_seq'::regclass),PRIMARY KEY
canonical_food_processes,food_id,bigint,NO,null,FOREIGN KEY -> canonical_foods
canonical_food_processes,process_id,integer,NO,null,FOREIGN KEY -> processes
canonical_food_processes,parameters,jsonb,YES,null,
canonical_foods,id,bigint,NO,nextval('canonical_foods_id_seq'::regclass),PRIMARY KEY
canonical_foods,canonical_name,text,NO,null,
canonical_foods,category_id,bigint,YES,null,FOREIGN KEY -> reference_categories
canonical_foods,keywords,ARRAY,YES,null,
canonical_foods,primary_unit,text,YES,'u'::text,
canonical_foods,unit_weight_grams,numeric,YES,null,
canonical_foods,density_g_per_ml,numeric,YES,null,
canonical_foods,shelf_life_days_pantry,integer,YES,null,
canonical_foods,shelf_life_days_fridge,integer,YES,null,
canonical_foods,shelf_life_days_freezer,integer,YES,null,
canonical_foods,created_at,timestamp with time zone,YES,now(),
canonical_foods,updated_at,timestamp with time zone,YES,now(),
canonical_foods,subcategory_id,bigint,YES,null,FOREIGN KEY -> reference_subcategories
canonical_foods,nutrition_id,integer,YES,null,FOREIGN KEY -> nutritional_data
cooking_nutrition_factors,id,integer,NO,nextval('cooking_nutrition_factors_id_seq'::regclass),PRIMARY KEY
cooking_nutrition_factors,cooking_method,character varying,NO,null,
cooking_nutrition_factors,nutrient_name,character varying,NO,null,
cooking_nutrition_factors,factor_type,USER-DEFINED,NO,null,
cooking_nutrition_factors,factor_value,numeric,NO,null,
countries,id,integer,NO,nextval('countries_id_seq'::regclass),PRIMARY KEY
countries,name,text,NO,null,
cultivars,id,bigint,NO,nextval('cultivars_id_seq'::regclass),PRIMARY KEY
cultivars,canonical_food_id,bigint,NO,null,FOREIGN KEY -> canonical_foods
cultivars,cultivar_name,text,NO,null,
cultivars,synonyms,ARRAY,YES,null,
cultivars,notes,text,YES,null,
cultivars,created_at,timestamp with time zone,NO,now(),
cultivars,updated_at,timestamp with time zone,NO,now(),
cultivars,density_g_per_ml,numeric,YES,null,
cultivars,grams_per_unit,numeric,YES,null,
