table_name,column_name,data_type,is_nullable,column_default,constraints
canonical_foods,id,bigint,NO,nextval('canonical_foods_id_seq'::regclass),PRIMARY KEY
canonical_foods,canonical_name,text,NO,null,
canonical_foods,category_id,bigint,YES,null,FOREIGN KEY -> reference_categories
canonical_foods,category_id,bigint,YES,null,FOREIGN KEY -> reference_categories
canonical_foods,subcategory,text,YES,null,
canonical_foods,keywords,ARRAY,YES,null,
canonical_foods,primary_unit,text,YES,'u'::text,
canonical_foods,unit_weight_grams,numeric,YES,null,
canonical_foods,unit_volume_ml,numeric,YES,null,
canonical_foods,density_g_per_ml,numeric,YES,null,
canonical_foods,calories_per_100g,numeric,YES,null,
canonical_foods,protein_g_per_100g,numeric,YES,null,
canonical_foods,carbs_g_per_100g,numeric,YES,null,
canonical_foods,fat_g_per_100g,numeric,YES,null,
canonical_foods,fiber_g_per_100g,numeric,YES,null,
canonical_foods,sugar_g_per_100g,numeric,YES,null,
canonical_foods,sodium_mg_per_100g,numeric,YES,null,
canonical_foods,shelf_life_days_pantry,integer,YES,null,
canonical_foods,shelf_life_days_fridge,integer,YES,null,
canonical_foods,shelf_life_days_freezer,integer,YES,null,
canonical_foods,origin_country,ARRAY,YES,null,
canonical_foods,can_conserve_bocal,boolean,YES,false,
canonical_foods,can_lactofermentation,boolean,YES,false,
canonical_foods,can_sechage,boolean,YES,false,
canonical_foods,can_congelation,boolean,YES,false,
canonical_foods,can_confiture,boolean,YES,false,
canonical_foods,can_vinaigre,boolean,YES,false,
canonical_foods,can_huile,boolean,YES,false,
canonical_foods,process_params,jsonb,YES,null,
canonical_foods,created_at,timestamp with time zone,YES,now(),
canonical_foods,updated_at,timestamp with time zone,YES,now(),
canonical_foods,structured_seasons,jsonb,YES,null,
canonical_foods,category_parent,text,YES,null,
canonical_foods,category_child,text,YES,null,
cultivars,id,bigint,NO,nextval('cultivars_id_seq'::regclass),PRIMARY KEY
cultivars,canonical_food_id,bigint,YES,null,FOREIGN KEY -> canonical_foods
cultivars,cultivar_name,text,NO,null,
cultivars,synonyms,ARRAY,YES,null,
cultivars,region_code,text,YES,'FR'::text,
cultivars,calories_per_100g,numeric,YES,null,
cultivars,protein_g_per_100g,numeric,YES,null,
cultivars,carbs_g_per_100g,numeric,YES,null,
cultivars,fat_g_per_100g,numeric,YES,null,
cultivars,fiber_g_per_100g,numeric,YES,null,
cultivars,sugar_g_per_100g,numeric,YES,null,
cultivars,sodium_mg_per_100g,numeric,YES,null,
cultivars,shelf_life_days_pantry,integer,YES,null,
cultivars,shelf_life_days_fridge,integer,YES,null,
cultivars,shelf_life_days_freezer,integer,YES,null,
cultivars,season_availability,ARRAY,YES,null,
cultivars,origin_country,ARRAY,YES,null,
cultivars,can_conserve_bocal,boolean,YES,null,
cultivars,can_lactofermentation,boolean,YES,null,
cultivars,can_sechage,boolean,YES,null,
cultivars,can_congelation,boolean,YES,null,
cultivars,can_confiture,boolean,YES,null,
cultivars,can_vinaigre,boolean,YES,null,
cultivars,can_huile,boolean,YES,null,
cultivars,process_params,jsonb,YES,null,
cultivars,created_at,timestamp with time zone,YES,now(),
cultivars,updated_at,timestamp with time zone,YES,now(),
derived_products,id,bigint,NO,nextval('derived_products_id_seq'::regclass),PRIMARY KEY
derived_products,cultivar_id,bigint,YES,null,FOREIGN KEY -> cultivars
derived_products,derived_name,text,NO,null,
derived_products,process_method,text,YES,null,
derived_products,notes,text,YES,null,
derived_products,batch_date,date,NO,CURRENT_DATE,
derived_products,expected_shelf_life_days,integer,YES,null,
derived_products,expiration_date,date,YES,null,
derived_products,package_size,numeric,YES,null,
derived_products,package_unit,text,YES,null,
derived_products,calories_per_100g,numeric,YES,null,
derived_products,protein_g_per_100g,numeric,YES,null,
derived_products,carbs_g_per_100g,numeric,YES,null,
derived_products,fat_g_per_100g,numeric,YES,null,
derived_products,fiber_g_per_100g,numeric,YES,null,
derived_products,sugar_g_per_100g,numeric,YES,null,
derived_products,sodium_mg_per_100g,numeric,YES,null,
derived_products,created_at,timestamp with time zone,YES,now(),
derived_products,updated_at,timestamp with time zone,YES,now(),
generic_products,id,bigint,NO,nextval('generic_products_id_seq'::regclass),PRIMARY KEY
generic_products,name,text,NO,null,
generic_products,category_id,bigint,YES,null,FOREIGN KEY -> reference_categories
generic_products,subcategory,text,YES,null,
generic_products,keywords,ARRAY,YES,null,
generic_products,primary_unit,text,YES,null,
generic_products,unit_weight_grams,numeric,YES,null,
generic_products,unit_volume_ml,numeric,YES,null,
generic_products,density_g_per_ml,numeric,YES,null,
generic_products,shelf_life_days_pantry,integer,YES,null,
generic_products,shelf_life_days_fridge,integer,YES,null,
generic_products,shelf_life_days_freezer,integer,YES,null,
generic_products,calories_per_100g,numeric,YES,null,
generic_products,protein_g_per_100g,numeric,YES,null,
generic_products,carbs_g_per_100g,numeric,YES,null,
generic_products,fat_g_per_100g,numeric,YES,null,
generic_products,fiber_g_per_100g,numeric,YES,null,
generic_products,sugar_g_per_100g,numeric,YES,null,
generic_products,sodium_mg_per_100g,numeric,YES,null,
generic_products,created_at,timestamp with time zone,YES,now(),
