id,canonical_name,category_id,subcategory,keywords,primary_unit,unit_weight_grams,unit_volume_ml,density_g_per_ml,calories_per_100g,protein_g_per_100g,carbs_g_per_100g,fat_g_per_100g,fiber_g_per_100g,sugar_g_per_100g,sodium_mg_per_100g,shelf_life_days_pantry,shelf_life_days_fridge,shelf_life_days_freezer,origin_country,can_conserve_bocal,can_lactofermentation,can_sechage,can_congelation,can_confiture,can_vinaigre,can_huile,process_params,created_at,updated_at,structured_seasons,category_parent,category_child
287,pomme,1,fruits_frais,"[""pomme"",""apple""]",u,150.00,,0.8500,52.0,0.30,14.00,0.20,2.40,10.40,1.00,7,30,365,"[""FR"",""IT"",""PL"",""TR""]",true,false,true,true,true,false,false,,2025-09-14 23:18:44.992127+00,2025-09-15 17:42:50.115419+00,"{""peak"":[9,10,11],""type"":""fruit"",""available"":[1,2,3,9,10,11,12]}",fruits,fruits_frais
288,poire,1,fruits_frais,"[""poire"",""pear""]",u,180.00,,0.8500,57.0,0.40,15.00,0.10,3.10,9.80,2.00,5,21,365,"[""CN"",""AR"",""TR"",""US""]",true,false,true,true,true,false,false,,2025-09-14 23:18:44.992127+00,2025-09-15 17:42:50.115419+00,"{""peak"":[9,10,11],""type"":""fruit"",""available"":[1,2,3,9,10,11,12]}",fruits,fruits_frais
289,prune,1,fruits_noyau,"[""prune"",""plum""]",u,65.00,,0.8700,46.0,0.70,11.00,0.30,1.40,9.90,0.00,3,7,365,"[""CN"",""RO"",""TR"",""CL""]",true,false,true,true,true,false,false,,2025-09-14 23:18:44.992127+00,2025-09-15 17:42:50.115419+00,"{""peak"":[7,8],""type"":""fruit"",""available"":[6,7,8,9]}",fruits,fruits_noyau
290,cerise,1,fruits_ete,"[""cerise"",""cherry""]",g,1.00,,1.0500,63.0,1.10,16.00,0.20,2.10,12.80,0.00,2,7,365,"[""TR"",""US"",""IR"",""IT""]",true,false,false,true,true,false,false,,2025-09-14 23:18:44.992127+00,2025-09-15 17:42:50.115419+00,"{""peak"":[5,6],""type"":""fruit"",""available"":[4,5,6,7]}",fruits,fruits_ete
291,pêche,1,fruits_ete,"[""pêche"",""peach""]",u,150.00,,0.8900,39.0,0.90,10.00,0.30,1.50,8.40,0.00,3,7,365,"[""CN"",""ES"",""IT"",""GR""]",true,false,true,true,true,false,false,,2025-09-14 23:18:44.992127+00,2025-09-15 17:42:50.115419+00,"{""peak"":[7,8],""type"":""fruit"",""available"":[6,7,8,9]}",fruits,fruits_ete
292,abricot,1,fruits_ete,"[""abricot"",""apricot""]",u,35.00,,0.8600,48.0,1.40,11.00,0.40,2.00,9.20,1.00,2,5,365,"[""TR"",""UZ"",""IT"",""AL""]",true,false,true,true,true,false,false,,2025-09-14 23:18:44.992127+00,2025-09-15 17:42:50.115419+00,"{""peak"":[7,8],""type"":""fruit"",""available"":[6,7,8,9]}",fruits,fruits_ete
293,raisin,1,fruits_vigne,"[""raisin"",""grape""]",g,1.00,,0.8100,69.0,0.70,18.00,0.20,0.90,16.00,2.00,3,7,365,"[""CN"",""IT"",""US"",""ES""]",true,false,true,true,false,false,false,,2025-09-14 23:18:44.992127+00,2025-09-15 17:42:50.115419+00,"{""peak"":[9,10],""type"":""fruit"",""available"":[8,9,10,11]}",fruits,fruits_vigne
294,coing,1,fruits_pome,"[""coing"",""quince""]",u,200.00,,0.8600,57.0,0.40,15.00,0.10,1.90,12.80,4.00,14,60,365,"[""TR"",""CN"",""AR"",""UZ""]",true,false,false,true,true,false,false,,2025-09-14 23:18:44.992127+00,2025-09-15 17:42:50.115419+00,"{""peak"":[9,10,11],""type"":""fruit"",""available"":[1,2,3,9,10,11,12]}",fruits,fruits_pome
295,figue,1,fruits_exotiques,"[""figue"",""fig""]",u,50.00,,0.7900,74.0,0.80,19.00,0.30,2.90,16.30,1.00,1,3,365,"[""TR"",""EG"",""DZ"",""IR""]",true,false,true,true,true,false,false,,2025-09-14 23:18:44.992127+00,2025-09-15 17:42:50.115419+00,"{""peak"":[],""type"":""fruit"",""available"":[1,2,3,4,5,6,7,8,9,10,11,12]}",fruits,fruits_exotiques
296,orange,1,agrumes,"[""orange""]",u,150.00,,0.8700,47.0,0.90,12.00,0.10,2.40,9.40,0.00,7,21,365,"[""BR"",""CN"",""IN"",""US""]",true,false,true,true,true,false,false,,2025-09-14 23:18:44.992127+00,2025-09-15 17:42:50.115419+00,"{""peak"":[12,1,2],""type"":""fruit"",""available"":[11,12,1,2,3,4]}",fruits,agrumes
