id,canonical_name,category_id,keywords,primary_unit,unit_weight_grams,density_g_per_ml,shelf_life_days_pantry,shelf_life_days_fridge,shelf_life_days_freezer,origin_country,process_params,created_at,updated_at,structured_seasons,nutrition_profile,process_capabilities,subcategory_id
1001,pomme,1,"[""pomme"",""apple"",""fruit""]",u,150.00,0.85,7,30,365,"[""FR"",""IT"",""PL""]",,2025-09-28 15:02:02.979011+00,2025-09-28 15:02:02.979011+00,"{""peak"":[9,10,11],""type"":""fruit"",""available"":[1,2,3,9,10,11,12]}","{""fat_g_per_100g"":0.2,""carbs_g_per_100g"":14,""fiber_g_per_100g"":2.4,""sugar_g_per_100g"":10.4,""calories_per_100g"":52,""protein_g_per_100g"":0.3,""sodium_mg_per_100g"":1}","{""can_huile"":false,""can_sechage"":true,""can_vinaigre"":false,""can_confiture"":true,""can_congelation"":true,""can_conserve_bocal"":true,""can_lactofermentation"":false}",
1002,poire,1,"[""poire"",""pear"",""fruit""]",u,180.00,0.85,5,21,365,"[""CN"",""AR"",""TR""]",,2025-09-28 15:02:02.979011+00,2025-09-28 15:02:02.979011+00,"{""peak"":[9,10,11],""type"":""fruit"",""available"":[1,2,3,9,10,11,12]}","{""fat_g_per_100g"":0.1,""carbs_g_per_100g"":15,""fiber_g_per_100g"":3.1,""sugar_g_per_100g"":9.8,""calories_per_100g"":57,""protein_g_per_100g"":0.4,""sodium_mg_per_100g"":2}","{""can_huile"":false,""can_sechage"":true,""can_vinaigre"":false,""can_confiture"":true,""can_congelation"":true,""can_conserve_bocal"":true,""can_lactofermentation"":false}",
1003,prune,1,"[""prune"",""plum"",""fruit""]",u,65.00,0.87,3,7,365,"[""CN"",""RO"",""TR""]",,2025-09-28 15:02:02.979011+00,2025-09-28 15:02:02.979011+00,"{""peak"":[7,8],""type"":""fruit"",""available"":[6,7,8,9]}","{""fat_g_per_100g"":0.3,""carbs_g_per_100g"":11,""fiber_g_per_100g"":1.4,""sugar_g_per_100g"":9.9,""calories_per_100g"":46,""protein_g_per_100g"":0.7,""sodium_mg_per_100g"":0}","{""can_huile"":false,""can_sechage"":true,""can_vinaigre"":false,""can_confiture"":true,""can_congelation"":true,""can_conserve_bocal"":true,""can_lactofermentation"":false}",
1004,cerise,1,"[""cerise"",""cherry"",""fruit""]",g,8.00,1.05,2,7,365,"[""TR"",""US"",""IT""]",,2025-09-28 15:02:02.979011+00,2025-09-28 15:02:02.979011+00,"{""peak"":[5,6],""type"":""fruit"",""available"":[4,5,6,7]}","{""fat_g_per_100g"":0.2,""carbs_g_per_100g"":16,""fiber_g_per_100g"":2.1,""sugar_g_per_100g"":12.8,""calories_per_100g"":63,""protein_g_per_100g"":1.1,""sodium_mg_per_100g"":0}","{""can_huile"":false,""can_sechage"":false,""can_vinaigre"":false,""can_confiture"":true,""can_congelation"":true,""can_conserve_bocal"":true,""can_lactofermentation"":false}",
1005,pêche,1,"[""pêche"",""peach"",""fruit""]",u,150.00,0.89,3,7,365,"[""CN"",""ES"",""IT""]",,2025-09-28 15:02:02.979011+00,2025-09-28 15:02:02.979011+00,"{""peak"":[7,8],""type"":""fruit"",""available"":[6,7,8,9]}","{""fat_g_per_100g"":0.3,""carbs_g_per_100g"":10,""fiber_g_per_100g"":1.5,""sugar_g_per_100g"":8.4,""calories_per_100g"":39,""protein_g_per_100g"":0.9,""sodium_mg_per_100g"":0}","{""can_huile"":false,""can_sechage"":true,""can_vinaigre"":false,""can_confiture"":true,""can_congelation"":true,""can_conserve_bocal"":true,""can_lactofermentation"":false}",
1006,abricot,1,"[""abricot"",""apricot"",""fruit""]",u,35.00,0.86,2,5,365,"[""TR"",""IT"",""ES""]",,2025-09-28 15:02:02.979011+00,2025-09-28 15:02:02.979011+00,"{""peak"":[6,7],""type"":""fruit"",""available"":[5,6,7,8]}","{""fat_g_per_100g"":0.4,""carbs_g_per_100g"":11,""fiber_g_per_100g"":2,""sugar_g_per_100g"":9.2,""calories_per_100g"":48,""protein_g_per_100g"":1.4,""sodium_mg_per_100g"":1}","{""can_huile"":false,""can_sechage"":true,""can_vinaigre"":false,""can_confiture"":true,""can_congelation"":true,""can_conserve_bocal"":true,""can_lactofermentation"":false}",
1007,raisin,1,"[""raisin"",""grape"",""fruit""]",g,5.00,0.81,3,7,365,"[""IT"",""ES"",""FR""]",,2025-09-28 15:02:02.979011+00,2025-09-28 15:02:02.979011+00,"{""peak"":[9,10],""type"":""fruit"",""available"":[8,9,10,11]}","{""fat_g_per_100g"":0.2,""carbs_g_per_100g"":18,""fiber_g_per_100g"":0.9,""sugar_g_per_100g"":16,""calories_per_100g"":69,""protein_g_per_100g"":0.7,""sodium_mg_per_100g"":2}","{""can_huile"":false,""can_sechage"":true,""can_vinaigre"":true,""can_confiture"":false,""can_congelation"":true,""can_conserve_bocal"":true,""can_lactofermentation"":false}",
1008,fraise,1,"[""fraise"",""strawberry"",""fruit""]",g,12.00,0.93,1,3,365,"[""ES"",""FR"",""BE""]",,2025-09-28 15:02:02.979011+00,2025-09-28 15:02:02.979011+00,"{""peak"":[5,6],""type"":""fruit"",""available"":[4,5,6,7]}","{""fat_g_per_100g"":0.3,""carbs_g_per_100g"":8,""fiber_g_per_100g"":2,""sugar_g_per_100g"":4.9,""calories_per_100g"":32,""protein_g_per_100g"":0.7,""sodium_mg_per_100g"":1}","{""can_huile"":false,""can_sechage"":false,""can_vinaigre"":false,""can_confiture"":true,""can_congelation"":true,""can_conserve_bocal"":true,""can_lactofermentation"":false}",
1009,framboise,1,"[""framboise"",""raspberry"",""fruit""]",g,5.00,0.87,1,2,365,"[""PL"",""RS"",""FR""]",,2025-09-28 15:02:02.979011+00,2025-09-28 15:02:02.979011+00,"{""peak"":[6,7],""type"":""fruit"",""available"":[5,6,7,8]}","{""fat_g_per_100g"":0.7,""carbs_g_per_100g"":12,""fiber_g_per_100g"":6.5,""sugar_g_per_100g"":4.4,""calories_per_100g"":52,""protein_g_per_100g"":1.2,""sodium_mg_per_100g"":1}","{""can_huile"":false,""can_sechage"":false,""can_vinaigre"":false,""can_confiture"":true,""can_congelation"":true,""can_conserve_bocal"":true,""can_lactofermentation"":false}",
1301,carotte,1,"[""carotte"",""carrot"",""légume""]",u,80.00,0.88,14,30,365,"[""FR"",""NL"",""CN""]",,2025-09-28 15:02:02.979011+00,2025-09-28 15:02:02.979011+00,"{""peak"":[],""type"":""permanent"",""available"":[1,2,3,4,5,6,7,8,9,10,11,12]}","{""fat_g_per_100g"":5.9,""carbs_g_per_100g"":64,""fiber_g_per_100g"":42.6,""sugar_g_per_100g"":0,""calories_per_100g"":131,""protein_g_per_100g"":3.3,""sodium_mg_per_100g"":26}","{""can_huile"":false,""can_sechage"":true,""can_vinaigre"":true,""can_confiture"":false,""can_congelation"":true,""can_conserve_bocal"":true,""can_lactofermentation"":true}",
1302,pomme de terre,1,"[""pomme de terre"",""potato"",""patate""]",u,150.00,0.80,365,14,365,"[""CN"",""IN"",""RU""]",,2025-09-28 15:02:02.979011+00,2025-09-28 15:02:02.979011+00,"{""peak"":[9,10],""type"":""légume"",""available"":[1,2,3,4,5,6,7,8,9,10,11,12]}","{""fat_g_per_100g"":0.1,""carbs_g_per_100g"":17,""fiber_g_per_100g"":2.2,""sugar_g_per_100g"":0.8,""calories_per_100g"":77,""protein_g_per_100g"":2,""sodium_mg_per_100g"":6}","{""can_huile"":false,""can_sechage"":false,""can_vinaigre"":false,""can_confiture"":false,""can_congelation"":true,""can_conserve_bocal"":true,""can_lactofermentation"":false}",
1303,navet,1,"[""navet"",""turnip"",""légume""]",u,120.00,0.90,14,21,365,"[""FR"",""GB"",""JP""]",,2025-09-28 15:02:02.979011+00,2025-09-28 15:02:02.979011+00,"{""peak"":[10,11,12],""type"":""légume"",""available"":[1,2,3,10,11,12]}","{""fat_g_per_100g"":0.1,""carbs_g_per_100g"":6.4,""fiber_g_per_100g"":1.8,""sugar_g_per_100g"":3.8,""calories_per_100g"":28,""protein_g_per_100g"":0.9,""sodium_mg_per_100g"":67}","{""can_huile"":false,""can_sechage"":false,""can_vinaigre"":true,""can_confiture"":false,""can_congelation"":true,""can_conserve_bocal"":true,""can_lactofermentation"":true}",
