id,canonical_name,category_id,keywords,primary_unit,unit_weight_grams,density_g_per_ml,shelf_life_days_pantry,shelf_life_days_fridge,shelf_life_days_freezer,created_at,updated_at,subcategory_id,nutrition_id
14005,courge butternut,2,,u,,,,,,2025-10-13 14:23:55.508091+00,2025-10-13 14:23:55.508091+00,,
1002,avocat,1,"{avocat,avocado,fruit}",u,200.0,0.92,5,7,365,2025-10-02 10:19:33.056369+00,2025-10-07 15:12:47.348581+00,5,
1003,banane,1,"{banane,banana,fruit}",u,120.0,0.74,5,7,365,2025-10-02 10:19:33.056369+00,2025-10-07 15:12:47.348581+00,5,
1004,basilic,10,"{basil,basilic,herbe}",g,0.5,0.92,2,5,365,2025-09-28 15:02:02.979011+00,2025-10-07 15:12:47.348581+00,149,
1005,carotte,2,"{carotte,carrot,légume}",u,80,0.88,14,30,365,2025-09-28 15:02:02.979011+00,2025-10-07 15:12:47.348581+00,9,
1006,cassis,1,"{cassis,blackcurrant,fruit}",g,1.0,0.96,3,7,365,2025-10-02 17:52:51.886498+00,2025-10-07 15:12:47.348581+00,4,
1008,cerise,1,"{cerise,cherry,fruit}",u,8,1.05,2,7,365,2025-09-28 15:02:02.979011+00,2025-10-07 15:12:47.348581+00,2,
1011,châtaigne,2,"{châtaigne,chestnut,marron,fruit}",u,15.0,0.72,14,30,365,2025-10-02 22:21:31.802295+00,2025-10-07 15:12:47.348581+00,132,
1013,brugnon,1,"{brugnon,nectarine,fruit}",u,150.0,0.90,3,7,365,2025-10-02 22:21:31.802295+00,2025-10-07 15:12:47.348581+00,2,
1014,carambole,1,"{carambole,starfruit,fruit}",u,100.0,0.91,5,7,365,2025-10-02 22:21:31.802295+00,2025-10-07 15:12:47.348581+00,5,
1015,citron,1,"{citron,lemon,fruit}",u,100.0,0.89,30,30,0,2025-10-02 10:17:54.436036+00,2025-10-07 15:12:47.348581+00,1,
1016,citron vert,1,"{""citron vert"",lime,fruit}",u,70.0,0.88,14,21,0,2025-10-02 10:17:54.436036+00,2025-10-07 15:12:47.348581+00,1,
1017,coing,1,"{coing,quince,fruit}",u,250.0,0.86,30,60,365,2025-10-02 22:21:31.802295+00,2025-10-07 15:12:47.348581+00,3,
1019,datte,1,"{date,datte,""fruit sec""}",g,7,0.70,365,730,730,2025-09-28 15:02:02.979011+00,2025-10-07 15:12:47.348581+00,124,
1022,fraise,1,"{fraise,strawberry,fruit}",g,1.0,0.95,2,5,365,2025-10-02 20:56:55.172411+00,2025-10-07 15:12:47.348581+00,4,
1023,framboise,1,"{framboise,raspberry,fruit}",g,1.0,0.92,1,3,365,2025-10-02 20:56:55.172411+00,2025-10-07 15:12:47.348581+00,4,
1024,fruit de la passion,1,"{""fruit de la passion"",""passion fruit"",fruit}",u,50.0,0.87,7,14,365,2025-10-02 10:19:33.056369+00,2025-10-07 15:12:47.348581+00,5,
1025,fruit du dragon,2,"{""fruit du dragon"",""dragon fruit"",pitaya,fruit}",u,400.0,0.90,5,7,365,2025-10-02 22:21:31.802295+00,2025-10-07 15:12:47.348581+00,132,
1020,épinard,2,"{épinard,spinach,légume}",g,2,0.91,2,5,365,2025-09-28 15:02:02.979011+00,2025-10-07 15:12:47.348581+00,7,
1026,goyave,2,"{goyave,guava,fruit}",u,150.0,0.87,3,5,365,2025-10-02 22:21:31.802295+00,2025-10-07 15:12:47.348581+00,132,
1027,grenade,1,"{grenade,pomegranate,fruit}",u,300.0,0.86,30,60,0,2025-10-02 10:19:33.056369+00,2025-10-07 15:12:47.348581+00,5,
1028,groseille,1,"{groseille,currant,fruit}",g,1.0,0.96,3,7,365,2025-10-02 17:52:51.886498+00,2025-10-07 15:12:47.348581+00,4,
1029,kiwi,1,"{kiwi,fruit}",u,80.0,0.83,7,30,365,2025-10-02 10:19:33.056369+00,2025-10-07 15:12:47.348581+00,5,
1031,laitue,2,"{laitue,lettuce,salade,légume}",u,1000,0.92,14,30,365,2025-09-28 15:02:02.979011+00,2025-10-07 15:12:47.348581+00,7,
1033,mâche,2,"{mâche,""lambs lettuce"",salade,légume}",u,300,0.95,3,7,0,2025-09-28 15:02:02.979011+00,2025-10-07 15:12:47.348581+00,7,
