id,from_unit,to_unit,factor,created_at
f685416d-8943-4c2f-a2b9-59965cf5e30a,kg,g,1000,2025-09-04 22:37:42.936848+00
33b966fa-efe4-447d-a714-88ba4035968e,g,kg,0.001,2025-09-04 22:37:42.936848+00
4d433867-ff73-4df9-a413-17279ffacc12,L,ml,1000,2025-09-04 22:37:42.936848+00
2deae740-69b0-4ce1-870e-499ef55dcf77,ml,L,0.001,2025-09-04 22:37:42.936848+00
990dd965-c00c-4bd8-9ebb-2efeb635e821,cl,ml,10,2025-09-04 22:37:42.936848+00
82c29c56-9a64-41da-9b27-83d46d1fe6e9,ml,cl,0.1,2025-09-04 22:37:42.936848+00
d8651d68-05a8-4877-80e5-17f5970aa989,càc,ml,5,2025-09-04 22:37:42.936848+00
70209de9-51ff-438a-9e35-8a8c2aef6081,tsp,ml,5,2025-09-04 22:37:42.936848+00
b589c98b-5cb1-4507-997a-7d79804f235e,càs,ml,15,2025-09-04 22:37:42.936848+00
a94d5067-aa7d-4a6b-8d64-42c4520b335c,tbsp,ml,15,2025-09-04 22:37:42.936848+00
