alim_code,alim_nom_fr,groupe,sous_groupe
24999,Dessert (aliment moyen),"",""
25601,"Salade de thon et légumes, appertisée",entrées et plats composés,salades composées et crudités
25602,"Salade composée avec viande ou poisson, appertisée",entrées et plats composés,salades composées et crudités
25605,"Champignons à la grecque, appertisés",entrées et plats composés,salades composées et crudités
25606,"Salade de pommes de terre, fait maison",entrées et plats composés,salades composées et crudités
25608,"Taboulé ou Salade de couscous, préemballé",entrées et plats composés,salades composées et crudités
25609,"Salade de pomme de terre à la piémontaise, préemballée",entrées et plats composés,salades composées et crudités
25614,"Salade de riz, appertisée",entrées et plats composés,salades composées et crudités
25615,"Salade de pâtes, végétarienne",entrées et plats composés,salades composées et crudités
25616,"Crudité, sans assaisonnement (aliment moyen)",entrées et plats composés,salades composées et crudités
25619,"Salade de pâtes aux légumes, avec poisson ou viande, préemballée",entrées et plats composés,salades composées et crudités
25626,"Macédoine de légumes en salade, avec sauce, préemballée",entrées et plats composés,salades composées et crudités
25628,"Salade César au poulet (salade verte, fromage, croûtons, sauce), préemballée",entrées et plats composés,salades composées et crudités
25629,"Salade végétale à base de boulgour et/ou quinoa et légumes, préemballée",entrées et plats composés,salades composées et crudités
26257,"Carottes râpées, avec sauce, préemballées",entrées et plats composés,salades composées et crudités
26258,"Salade de betterave, avec sauce, préemballée",entrées et plats composés,salades composées et crudités
26259,"Salade de chou ou Coleslaw, avec sauce, préemballée",entrées et plats composés,salades composées et crudités
26260,"Salade de concombre à la crème/fromage blanc, préemballée",entrées et plats composés,salades composées et crudités
26261,"Salade de lentilles et saucisse fumée, préemballée",entrées et plats composés,salades composées et crudités
26262,"Salade grecque, avec sauce, préemballée",entrées et plats composés,salades composées et crudités
26263,"Salade de riz à la niçoise, avec sauce, préemballée",entrées et plats composés,salades composées et crudités
26269,"Taboulé ou Salade de couscous au poulet, préemballé",entrées et plats composés,salades composées et crudités
25900,"Soupe aux lentilles, préemballée à réchauffer",entrées et plats composés,soupes
25901,"Soupe à la volaille et aux légumes, préemballée à réchauffer",entrées et plats composés,soupes
25903,"Soupe aux légumes variés, préemballée à réchauffer",entrées et plats composés,soupes
25904,"Soupe de poissons et / ou crustacés, préemballée à réchauffer",entrées et plats composés,soupes
25905,"Soupe aux légumes variés, déshydratée reconstituée",entrées et plats composés,soupes
25907,"Soupe aux poireaux et pommes de terre, préemballée à réchauffer",entrées et plats composés,soupes
