id,canonical_food_id,cultivar_name,synonyms,notes,created_at,updated_at,density_g_per_ml,grams_per_unit
1318,14016,chou blanc,,,2025-10-26 12:28:44.742772+00,2025-10-26 12:28:44.742772+00,,
1319,14016,chou vert,,,2025-10-26 12:28:44.742772+00,2025-10-26 12:28:44.742772+00,,
1320,1020,épinard frais,,,2025-10-26 12:28:44.742772+00,2025-10-26 12:28:44.742772+00,,
1321,5005,lentille corail,,,2025-10-26 12:28:44.742772+00,2025-10-26 12:28:44.742772+00,,
1322,5005,lentille verte,,,2025-10-26 12:28:44.742772+00,2025-10-26 12:28:44.742772+00,,
1323,2041,oignon rouge,,,2025-10-26 12:28:44.742772+00,2025-10-26 12:28:44.742772+00,,
1324,2041,oignon vert,,,2025-10-26 12:28:44.742772+00,2025-10-26 12:28:44.742772+00,,
1325,10005,poivre blanc,,,2025-10-26 12:28:44.742772+00,2025-10-26 12:28:44.742772+00,,
1326,10005,poivre noir,,,2025-10-26 12:28:44.742772+00,2025-10-26 12:28:44.742772+00,,
1327,1051,poivron jaune,,,2025-10-26 12:28:44.742772+00,2025-10-26 12:28:44.742772+00,,
1328,1051,poivron rouge,,,2025-10-26 12:28:44.742772+00,2025-10-26 12:28:44.742772+00,,
1329,4003,riz Arborio,,,2025-10-26 12:28:44.742772+00,2025-10-26 12:28:44.742772+00,,
1330,4003,riz basmati,,,2025-10-26 12:28:44.742772+00,2025-10-26 12:28:44.742772+00,,
1331,1059,tomate cerise,,,2025-10-26 12:28:44.742772+00,2025-10-26 12:28:44.742772+00,,
1101,1035,Osteen,,"Mangue floridienne pourpre-rouge, chair jaune ferme, saveur douce légèrement acidulée",2025-10-03 18:37:19.253223+00,2025-10-07 14:22:20.970764+00,,
1002,1036,Prescott Fond Blanc,,"Melon ancien français, gros calibre, chair blanche juteuse, peau vert foncé, saveur douce",2025-10-03 18:34:22.914889+00,2025-10-07 14:22:20.970764+00,,
118,1050,Guyot,,"Poire d'été précoce, jaune-vert, juteuse et légèrement acidulée",2025-10-03 14:04:10.592433+00,2025-10-07 14:22:20.970764+00,,
58,1059,Montfavet,,"Variété française résistante, productive et précoce",2025-10-03 13:56:34.934502+00,2025-10-07 14:22:20.970764+00,,
544,2049,Armor,,"Poireau d'automne-hiver, fût long blanc-vert, productif",2025-10-03 18:13:30.338824+00,2025-10-07 14:22:20.970764+00,,
971,2057,Tuscan Blue,"{""Bleu Toscan""}","Romarin dressé vigoureux, floraison bleu intense, feuillage vert foncé, arôme fort",2025-10-03 18:33:00.055752+00,2025-10-07 14:22:20.970764+00,,
463,1001,Antigua,,"Aubergine italienne rayée, grosse, chair ferme et savoureuse",2025-10-03 18:12:28.467299+00,2025-10-07 14:22:20.970764+00,,
468,1001,Bambino,,"Mini aubergine violette ronde, idéale pour grillades",2025-10-03 18:12:28.467299+00,2025-10-07 14:22:20.970764+00,,
460,1001,Black Beauty,"{""Beauté Noire""}","Aubergine classique violette foncée, grosse, chair ferme",2025-10-03 18:12:28.467299+00,2025-10-07 14:22:20.970764+00,,
455,1001,Blanche Ronde,{Casper},"Aubergine blanche ronde, chair tendre, saveur douce et délicate",2025-10-03 18:12:28.467299+00,2025-10-07 14:22:20.970764+00,,
473,1001,Calliope,,"Aubergine rayée ovale, chair crémeuse",2025-10-03 18:12:28.467299+00,2025-10-07 14:22:20.970764+00,,
464,1001,Diamond,,"Aubergine violette allongée, très productive, chair ferme",2025-10-03 18:12:28.467299+00,2025-10-07 14:22:20.970764+00,,
458,1001,Fairy Tale,"{""Conte de Fées""}","Petite aubergine allongée rayée violet-blanc, très productive",2025-10-03 18:12:28.467299+00,2025-10-07 14:22:20.970764+00,,
465,1001,Graffiti,,"Aubergine oblongue rayée, chair blanche sans amertume",2025-10-03 18:12:28.467299+00,2025-10-07 14:22:20.970764+00,,
471,1001,Ichiban,,"Aubergine japonaise longue violet foncé, chair tendre",2025-10-03 18:12:28.467299+00,2025-10-07 14:22:20.970764+00,,
467,1001,Kermit,,"Petite aubergine thaï ronde verte rayée blanc, légèrement amère",2025-10-03 18:12:28.467299+00,2025-10-07 14:22:20.970764+00,,
459,1001,Listada de Gandia,,"Aubergine espagnole rayée violet-blanc, grosse, chair ferme",2025-10-03 18:12:28.467299+00,2025-10-07 14:22:20.970764+00,,
461,1001,Little Finger,"{""Petit Doigt""}","Mini aubergine violette allongée, chair tendre, sans amertume",2025-10-03 18:12:28.467299+00,2025-10-07 14:22:20.970764+00,,
476,1001,Louisiana Long Green,,"Aubergine américaine verte allongée, chair blanche ferme",2025-10-03 18:12:28.467299+00,2025-10-07 14:22:20.970764+00,,
474,1001,Millionaire,,"Aubergine asiatique longue, très productive, chair tendre",2025-10-03 18:12:28.467299+00,2025-10-07 14:22:20.970764+00,,
470,1001,Orient Charm,,"Aubergine asiatique longue et fine violet foncé, très productive",2025-10-03 18:12:28.467299+00,2025-10-07 14:22:20.970764+00,,
462,1001,Ping Tung Long,,"Aubergine asiatique longue violet clair, chair tendre et sucrée",2025-10-03 18:12:28.467299+00,2025-10-07 14:22:20.970764+00,,
454,1001,Rosa Bianca,,"Aubergine italienne ronde rose-blanc, chair crémeuse sans amertume",2025-10-03 18:12:28.467299+00,2025-10-07 14:22:20.970764+00,,
