id,generated_recipe_id,raw_name,quantity,unit,notes,canonical_food_id,archetype_id,match_status,created_at
4856,82,pavés de saumon,350,g,en cubes,2062,,canonical,2026-06-05 12:39:15.701135+00
4857,82,lait de coco,25,cl,allégé,,224,archetype,2026-06-05 12:39:15.701135+00
4858,82,riz basmati,150,g,,4003,,canonical,2026-06-05 12:39:15.701135+00
4859,82,gingembre frais,15,g,râpé,10002,,canonical,2026-06-05 12:39:15.701135+00
4860,82,citron vert,1,piece,jus,1016,,canonical,2026-06-05 12:39:15.701135+00
4861,82,oignon,1,piece,,2041,,canonical,2026-06-05 12:39:15.701135+00
4862,82,pâte de curry,1,cs,,15,,canonical,2026-06-05 12:39:15.701135+00
4863,82,coriandre fraîche,0.5,botte,,1018,,canonical,2026-06-05 12:39:15.701135+00
4926,94,Patate douce,350,g,en cubes 2 cm,2045,,canonical,2026-06-05 12:39:17.261379+00
4927,94,Pois chiches en bocal,330,g,égouttés et rincés,5008,,canonical,2026-06-05 12:39:17.261379+00
4928,94,Pâte d'arachide 100%,45,g,,15,,canonical,2026-06-05 12:39:17.261379+00
4929,94,Tomates concassées,150,g,,1059,,canonical,2026-06-05 12:39:17.261379+00
4930,94,Oignon jaune,1,pièce,émincé,2041,,canonical,2026-06-05 12:39:17.261379+00
4931,94,Carotte,1,pièce,en rondelles,1005,,canonical,2026-06-05 12:39:17.261379+00
4932,94,Chou blanc,150,g,émincé,2009,,canonical,2026-06-05 12:39:17.261379+00
4933,94,Ail,2,gousses,écrasées,10001,,canonical,2026-06-05 12:39:17.261379+00
4934,94,Gingembre frais,15,g,râpé,10002,,canonical,2026-06-05 12:39:17.261379+00
4935,94,Piment habanero,0.5,pièce,"entier, à retirer en fin",2048,,canonical,2026-06-05 12:39:17.261379+00
4936,94,Riz basmati,120,g,"cru, à cuire",4003,,canonical,2026-06-05 12:39:17.261379+00
4937,94,Cacahuètes nature,20,g,en topping,11002,,canonical,2026-06-05 12:39:17.261379+00
4938,94,Huile neutre,15,ml,,,,unmatched,2026-06-05 12:39:17.261379+00
4939,94,Bouillon de légumes,350,ml,,14036,,canonical,2026-06-05 12:39:17.261379+00
4940,94,Coriandre fraîche,1,poignée,pour servir,1018,,canonical,2026-06-05 12:39:17.261379+00
5024,81,riz arborio,180,g,,4003,,canonical,2026-06-05 12:39:18.66964+00
5025,81,courgettes,2,piece,en dés,2026,,canonical,2026-06-05 12:39:18.66964+00
