id,recipe_id,step_number,description
1,2,1,"Préparer tous les ingrédients pour Porridge d'avoine, pommes et cannelle"
2,2,2,Suivre les étapes de préparation classiques pour cette recette
3,2,3,Servir et déguster
4,3,1,Préparer tous les ingrédients pour Overnight porridge aux graines de chia et fruits rouges
5,3,2,Suivre les étapes de préparation classiques pour cette recette
6,3,3,Servir et déguster
7,4,1,"Préparer tous les ingrédients pour Porridge salé aux épinards, feta et œuf mollet"
8,4,2,Suivre les étapes de préparation classiques pour cette recette
9,4,3,Servir et déguster
10,5,1,Préparer tous les ingrédients pour Smoothie bowl tropical mangue-ananas-coco
11,5,2,Suivre les étapes de préparation classiques pour cette recette
12,5,3,Servir et déguster
13,6,1,"Préparer tous les ingrédients pour Smoothie bowl vert épinards, kiwi et banane"
14,6,2,Suivre les étapes de préparation classiques pour cette recette
15,6,3,Servir et déguster
16,7,1,Préparer tous les ingrédients pour Pudding de chia au lait de coco et coulis de mangue
17,7,2,Suivre les étapes de préparation classiques pour cette recette
18,7,3,Servir et déguster
19,8,1,Préparer tous les ingrédients pour Granola maison aux noix de pécan et sirop d'érable
20,8,2,Suivre les étapes de préparation classiques pour cette recette
21,8,3,Servir et déguster
22,9,1,Préparer tous les ingrédients pour Muesli Bircher aux pommes râpées et noisettes
23,9,2,Suivre les étapes de préparation classiques pour cette recette
24,9,3,Servir et déguster
25,10,1,Préparer tous les ingrédients pour Pancakes américains fluffy au sirop d'érable
26,10,2,Suivre les étapes de préparation classiques pour cette recette
27,10,3,Servir et déguster
28,11,1,Préparer tous les ingrédients pour Pancakes à la banane sans sucre ajouté
29,11,2,Suivre les étapes de préparation classiques pour cette recette
30,11,3,Servir et déguster
31,12,1,Préparer tous les ingrédients pour Pancakes salés au saumon fumé et aneth
32,12,2,Suivre les étapes de préparation classiques pour cette recette
33,12,3,Servir et déguster
64,23,1,Préparer tous les ingrédients pour Fromage blanc et compote de pommes maison
65,23,2,Suivre les étapes de préparation classiques pour cette recette
66,23,3,Servir et déguster
67,24,1,"Préparer tous les ingrédients pour Toast de pain complet, avocat et graines de sésame"
68,24,2,Suivre les étapes de préparation classiques pour cette recette
69,24,3,Servir et déguster
70,25,1,"Préparer tous les ingrédients pour Tartine de chèvre frais, miel et thym"
71,25,2,Suivre les étapes de préparation classiques pour cette recette
72,25,3,Servir et déguster
73,26,1,Préparer tous les ingrédients pour Huevos Rotos (œufs cassés sur frites et jambon Serrano)
74,26,2,Suivre les étapes de préparation classiques pour cette recette
75,26,3,Servir et déguster
76,27,1,Préparer tous les ingrédients pour Pan con Tomate (pain grillé à la tomate et ail)
77,27,2,Suivre les étapes de préparation classiques pour cette recette
78,27,3,Servir et déguster
