id,import_id,week_label,category,product_name,quantity,checked,canonical_food_id,archetype_id,notes,container_qty,container_size,container_unit
1020,10,S1,🥩 Viandes & Poissons,Saucisses de porc,400g,f,,,,,,
1021,10,S1,🥩 Viandes & Poissons,Cuisses de poulet,600g,f,,,,,,
1022,10,S1,🥩 Viandes & Poissons,Filet de poulet,540g,f,,,,,,
1023,10,S1,🥩 Viandes & Poissons,Saumon,360g (200+160),f,,,,,,
1024,10,S1,🥩 Viandes & Poissons,Steak haché 5%,560g,f,,,,,,
1025,10,S1,🥩 Viandes & Poissons,Jambon,280g,f,,,,,,
1026,10,S1,🥩 Viandes & Poissons,Lardons dinde,280g,f,,,,,,
1027,10,S1,🥛 Produits laitiers,Skyr,2kg,f,,,,,,
1028,10,S1,🥛 Produits laitiers,Emmental,75g,f,,,,,,
1029,10,S1,🥛 Produits laitiers,Cheddar,45g,f,,,,,,
1030,10,S1,🥛 Produits laitiers,Parmesan,40g,f,,,,,,
1031,10,S1,🥛 Produits laitiers,Gruyère,40g,f,,,,,,
1032,10,S1,🥛 Produits laitiers,Beurre,30g,f,,,,,,
1033,10,S1,🥛 Produits laitiers,Lait,80ml,f,,,,,,
1034,10,S1,🥔 Féculents,Riz,440g cuit,f,,,,,,
1035,10,S1,🥔 Féculents,Semoule,370g cuite,f,,,,,,
1036,10,S1,🥔 Féculents,Pâtes,200g cuites,f,,,,,,
1037,10,S1,🥔 Féculents,PDT,1.2kg,f,,,,,,
1038,10,S1,🥔 Féculents,Grenaille,600g,f,,,,,,
1039,10,S1,🥔 Féculents,Pain complet,350g,f,,,,,,
1040,10,S1,🥔 Féculents,Pain burger,150g,f,,,,,,
1041,10,S1,🥬 Légumes de saison,Poivrons conserve,300g,f,,,,,,
1042,10,S1,🥬 Légumes de saison,Oignon,450g,f,,,,,,
1043,10,S1,🥬 Légumes de saison,Carottes,180g,f,,,,,,
1044,10,S1,🥬 Légumes de saison,Brocoli,440g,f,,,,,,
1045,10,S1,🥬 Légumes de saison,Endives,450g (7),f,,,,,,
1046,10,S1,🥬 Légumes de saison,Mâche,160g,f,,,,,,
1047,10,S1,🥬 Légumes de saison,Haricots verts,540g,f,,,,,,
1048,10,S1,🥬 Légumes de saison,Salade verte,200g,f,,,,,,
1049,10,S1,🥬 Légumes de saison,Tomates cerise,90g,f,,,,,,
1050,10,S1,🥬 Légumes de saison,Lentilles vertes,250g sèches,f,,,,,,
1051,10,S1,🥬 Légumes de saison,Lentilles cuites,200g,f,,,,,,
1052,10,S1,🥫 Conserves & épicerie,Passata,950g,f,,,,,,
1053,10,S1,🥫 Conserves & épicerie,Concentré tomate,20g,f,,,,,,
1054,10,S1,🥫 Conserves & épicerie,Gingembre frais,15g,f,,,,,,
1055,10,S1,🥫 Conserves & épicerie,Sauce soja,22ml,f,,,,,,
1056,10,S1,🥫 Conserves & épicerie,Miel,22g,f,,,,,,
1057,10,S1,🥫 Conserves & épicerie,Moutarde,18g,f,,,,,,
1058,10,S1,🥫 Conserves & épicerie,Cornichons,35g,f,,,,,,
1059,10,S1,🥫 Conserves & épicerie,Ketchup,18g,f,,,,,,
1060,10,S1,🥫 Conserves & épicerie,Cumin,5g,f,,,,,,
1061,10,S1,🍎 Fruits & oléagineux,Amandes,180g,f,,,,,,
1062,10,S1,🍎 Fruits & oléagineux,Noix,20g,f,,,,,,
1063,10,S1,🍎 Fruits & oléagineux,Beurre de cacahuète,20g,f,,,,,,
1064,10,S1,🍎 Fruits & oléagineux,Pommes,300g,f,,,,,,
1065,10,S1,🍎 Fruits & oléagineux,Poires,320g,f,,,,,,
1066,10,S1,🍎 Fruits & oléagineux,Kiwis,200g,f,,,,,,
1067,10,S1,🍎 Fruits & oléagineux,Clémentines,280g,f,,,,,,
1068,10,S1,🍎 Fruits & oléagineux,Oranges,180g,f,,,,,,
1069,10,S2,🥩 Viandes & Poissons,Bœuf haché 5%,860g,f,,,,,,
1070,10,S2,🥩 Viandes & Poissons,Filet de porc,370g,f,,,,,,
1071,10,S2,🥩 Viandes & Poissons,Cabillaud,370g,f,,,,,,
1072,10,S2,🥩 Viandes & Poissons,Filet de poulet,990g,f,,,,,,
1073,10,S2,🥩 Viandes & Poissons,Jambon,205g,f,,,,,,
1074,10,S2,🥩 Viandes & Poissons,Bœuf haché 5%,360g,f,,,,,,
1075,10,S2,🥛 Produits laitiers,Skyr,2kg,f,,,,,,
1076,10,S2,🥛 Produits laitiers,Emmental,35g,f,,,,,,
1077,10,S2,🥛 Produits laitiers,Parmesan,62g,f,,,,,,
1078,10,S2,🥛 Produits laitiers,Gruyère,65g,f,,,,,,
1079,10,S2,🥛 Produits laitiers,Crème 15%,125g,f,,,,,,
1080,10,S2,🥛 Produits laitiers,Beurre,30g,f,,,,,,
1081,10,S2,🥛 Produits laitiers,Lait coco,100g,f,,,,,,
1082,10,S2,🥛 Produits laitiers,Lait,140ml,f,,,,,,
1083,10,S2,🥔 Féculents,Pâtes complètes,400g cuites,f,,,,,,
1084,10,S2,🥔 Féculents,PDT,740g,f,,,,,,
1085,10,S2,🥔 Féculents,Riz,640g cuit,f,,,,,,
1086,10,S2,🥔 Féculents,Frites four,400g,f,,,,,,
1087,10,S2,🥔 Féculents,Naan,150g,f,,,,,,
1088,10,S2,🥔 Féculents,Pâtes,340g cuites,f,,,,,,
1089,10,S2,🥔 Féculents,Polenta,360g cuite,f,,,,,,
1090,10,S2,🥔 Féculents,Pain complet,300g,f,,,,,,
1091,10,S2,🥔 Féculents,Farine,55g,f,,,,,,
1092,10,S2,🥬 Légumes de saison,Carottes,330g,f,,,,,,
1093,10,S2,🥬 Légumes de saison,Champignons,300g,f,,,,,,
1094,10,S2,🥬 Légumes de saison,Poireaux,270g,f,,,,,,
