id,source_id,calories_kcal,proteines_g,glucides_g,lipides_g,fibres_g,sucres_g,ag_satures_g,ag_monoinsatures_g,ag_polyinsatures_g,cholesterol_mg,calcium_mg,fer_mg,magnesium_mg,phosphore_mg,potassium_mg,sodium_mg,zinc_mg,cuivre_mg,selenium_ug,iode_ug,vitamine_a_ug,beta_carotene_ug,vitamine_d_ug,vitamine_e_mg,vitamine_k_ug,vitamine_c_mg,vitamine_b1_mg,vitamine_b2_mg,vitamine_b3_mg,vitamine_b5_mg,vitamine_b6_mg,vitamine_b9_ug,vitamine_b12_ug
3116,24999,,4.63,36.60,12.90,1.54,23.7,5.18,4.74,1.68,,75,1.45,23.8,107,181,153,0.5,0.15,,11,56.3,34.6,0.27,1.97,,1.37,0.084,0.15,0.61,0.4,0.056,30.8,0.21
3117,25601,,9.15,7.74,4.70,2.7,3.08,0.56,1.83,1.76,,20.7,1.1,25.1,88.4,232,445,0.6,0.1,,2,2,,0.5,1.6,,2.75,0.04,0.053,4.45,0.16,0.29,31,1.45
3118,25602,,8.06,6.40,5.30,2,1.9,0.16,3.27,1.54,,22,0.7,20,92,220,381,0.38,0.07,,20,21,781,0.44,2.04,9.75,,0.032,0.022,4.13,0.2,0.12,11.1,1.23
3119,25605,,2.08,3.95,3.55,2.35,2.38,0.23,0.2,1.67,,27,1.06,13.5,64.1,277,500,0.4,0.17,,2.46,0,747,0,1.08,,6.67,0.056,0.21,1.84,0.88,0.088,19.6,0.018
3120,25606,,2.68,9.90,8.20,1.3,,1.43,2.48,3.74,,19,0.65,15,52,254,529,0.31,0.12,,,29,36,0,,,10,0.077,0.06,0.89,0.53,0.14,7,0
3121,25608,753.00,4.88,23.70,6.70,2.5,4.9,0.67,4.23,1.45,,24,0.88,25,80,210,399,0.65,0.16,,20,0,149,0,1.26,10.6,6.27,0.087,0.024,0.5,0.26,0.052,14.5,0
3122,25609,542.00,4.50,8.87,8.30,0.5,1.2,0.82,5.02,2.04,,13,0.43,16,72,300,433,0.49,0.07,,20,21,93.6,0.5,3.96,10.9,21.6,0.08,0.049,0.98,0.44,0.099,21.6,
3123,25614,,5.13,16.10,4.35,1.7,1,0.53,2.23,,,23.3,0.43,13.1,66.6,143,431,0.3,0.1,,5,2,34,0.5,1.63,,4.48,0.058,0.045,2.65,0.14,0.13,33.5,0.43
3124,25615,,5.70,13.70,8.10,1.7,2.3,2.37,1.46,3.92,,14,0.6,11,37,84,51,0.4,0.06,,4,7,1180,0,1.95,,21,0.04,0.02,0.4,0,0.09,16,0
3125,25616,125.00,0.94,3.07,0.70,1.51,2.27,0.12,0.29,0.095,,25.1,0.42,11.7,25.6,241,12.5,0.17,0.048,,7.21,0.017,1930,0.093,0.34,24,12.2,0.042,0.025,0.37,0.17,0.082,38.8,0
