id,recipe_id,archetype_id,canonical_food_id,quantity,unit,notes,sub_recipe_id
3639,175,298,,500.0,g,,
3640,174,298,,600.0,g,,
3641,170,298,,500.0,g,,
3642,9297,298,,600.0,g,,
3643,9282,298,,600.0,g,,
3644,40,299,,4.0,tranche,,
3645,39,299,,4.0,tranche,,
3646,29,299,,4.0,tranche,,
3647,372,299,,8.0,tranches,,
3648,9262,299,,8.0,tranche,,
3649,104,300,,100.0,g,,
3650,103,300,,20.0,g,,
3651,90,300,,30.0,g,,
3652,89,300,,30.0,g,,
3653,87,300,,50.0,g,,
3654,79,300,,80.0,g,,
3655,70,300,,40.0,g,,
3656,40,300,,125.0,g,,
3657,39,300,,30.0,g,,
3658,9,300,,2.0,cuillère à soupe,,
3659,161,300,,80.0,g,,
3660,145,300,,30.0,g,,
3661,142,300,,150.0,g,,
3662,141,300,,30.0,g,,
3663,140,300,,40.0,g,,
3664,136,300,,60.0,g,,
3665,135,300,,20.0,g,,
3666,134,300,,20.0,g,,
3667,133,300,,60.0,g,,
3668,131,300,,50.0,g,,
3669,130,300,,50.0,g,,
3670,129,300,,50.0,g,,
3671,125,300,,50.0,g,,
3672,124,300,,80.0,g,,
3673,112,300,,30.0,g,,
3674,110,300,,120.0,g,,
3675,107,300,,100.0,g,,
3676,330,300,,50.0,g,,
3677,322,300,,50.0,g,,
3678,316,300,,100.0,g,,
3679,315,300,,50.0,g,,
3680,205,300,,20.0,g,,
3681,9377,300,,50.0,g,,
3682,421,300,,50.0,g,,
3683,317,300,,100.0,g,,
3684,256,300,,50.0,g,,
3685,380,300,,40.0,g,,
3686,379,300,,40.0,g,,
3687,8877,300,,50.0,g,,
3688,8873,300,,100.0,g,,
3689,8870,300,,225.0,g,,
3690,8869,300,,125.0,g,,
3691,8838,300,,250.0,g,,
3692,454,300,,125.0,g,,
3693,453,300,,150.0,g,,
3694,452,300,,100.0,g,,
3695,413,300,,30.0,g,,
3696,192,300,,50.0,g,,
3697,191,300,,50.0,g,,
3698,190,300,,50.0,g,,
3699,187,300,,150.0,g,,
3700,186,300,,30.0,g,,
3701,185,300,,30.0,g,,
3702,180,300,,30.0,g,,
3703,179,300,,60.0,g,,
3704,174,300,,80.0,g,,
3705,170,300,,50.0,g,,
3706,165,300,,50.0,g,,
3707,331,300,,30.0,g,,
3708,329,300,,50.0,g,,
3709,327,300,,50.0,g,,
3710,325,300,,30.0,g,,
3711,321,300,,50.0,g,,
3712,320,300,,30.0,g,,
3713,318,300,,50.0,g,,
3714,279,300,,50.0,g,,
3715,276,300,,50.0,g,,
3716,274,300,,30.0,g,,
3717,271,300,,100.0,g,,
3718,234,300,,50.0,g,,
3719,229,300,,50.0,g,,
3720,225,300,,150.0,g,,
3721,224,300,,150.0,g,,
3722,218,300,,50.0,g,,
3723,215,300,,100.0,g,,
3724,200,300,,50.0,g,,
3725,570,300,,250.0,g,,
3726,526,300,,250.0,g,,
3727,8928,300,,50.0,g,,
3728,8785,300,,15.0,g,,
3729,8773,300,,20.0,g,,
3730,476,300,,50.0,g,,
3731,455,300,,30.0,g,,
3732,419,300,,50.0,g,,
3733,417,300,,100.0,g,,
3734,416,300,,80.0,g,,
3735,474,300,,150.0,g,,
3736,473,300,,100.0,g,,
3737,471,300,,175.0,g,,
3738,470,300,,50.0,g,,
3739,469,300,,100.0,g,,
3740,465,300,,75.0,g,,
3741,464,300,,100.0,g,,
3742,462,300,,100.0,g,,
3743,461,300,,325.0,g,,
3744,457,300,,100.0,g,,
3745,449,300,,150.0,g,,
3746,447,300,,150.0,g,,
3747,443,300,,100.0,g,,
3748,439,300,,150.0,g,,
3749,425,300,,100.0,g,,
3750,424,300,,100.0,g,,
3751,423,300,,100.0,g,,
3752,418,300,,100.0,g,,
3753,415,300,,100.0,g,,
3754,381,300,,30.0,g,,
3755,368,300,,50.0,g,,
3756,348,300,,100.0,g,,
3757,344,300,,30.0,g,,
3758,343,300,,30.0,g,,
3759,342,300,,30.0,g,,
3760,8874,300,,30.0,g,,
3761,8872,300,,100.0,g,,
3762,8871,300,,150.0,g,,
3763,603,300,,100.0,g,,
3764,589,300,,100.0,g,,
3765,569,300,,100.0,g,,
3766,568,300,,50.0,g,,
3767,559,300,,50.0,g,,
3768,548,300,,150.0,g,,
3769,547,300,,50.0,g,,
3770,546,300,,50.0,g,,
3771,543,300,,50.0,g,,
3772,541,300,,50.0,g,,
3773,539,300,,50.0,g,,
3774,531,300,,100.0,g,,
3775,523,300,,50.0,g,,
3776,504,300,,100.0,g,,
3777,499,300,,50.0,g,,
3778,498,300,,50.0,g,,
3779,491,300,,30.0,g,,
3780,490,300,,150.0,g,,
3781,486,300,,100.0,g,,
3782,483,300,,200.0,g,,
3783,481,300,,200.0,g,,
3784,475,300,,150.0,g,,
3785,8919,300,,100.0,g,,
3786,8886,300,,100.0,g,,
3787,8885,300,,50.0,g,,
3788,8884,300,,50.0,g,,
3789,8881,300,,80.0,g,,
3790,8879,300,,100.0,g,,
3791,8876,300,,125.0,g,,
3792,9382,300,,250.0,g,,
3793,9379,300,,200.0,g,,
3794,9378,300,,200.0,g,,
3795,9303,300,,150.0,g,,
3796,9035,300,,100.0,g,,
3797,420,301,,50.0,g,,
3798,188,301,,100.0,g,,
3799,422,302,,90.0,g,,
3800,8880,302,,90.0,g,,
3801,8878,302,,4.0,pièce,,
3802,8873,302,,4.0,pièce,,
3803,8874,302,,2.0,pièce,,
3804,8897,302,,4.0,pièce,,
3805,8883,302,,3.0,pièce,,
3806,8882,302,,2.0,pièce,,
3807,8879,302,,3.0,pièce,,
3808,123,303,,600.0,g,,
3809,79,304,,250.0,g,,
3810,149,304,,500.0,g,,
3811,148,304,,500.0,g,,
3812,147,304,,500.0,g,,
3813,140,304,,600.0,g,,
3814,372,304,,600.0,g,,
3815,389,304,,500.0,g,,
3816,609,304,,200.0,g,,
3817,608,304,,500.0,g,,
3818,588,304,,500.0,g,,
3819,583,304,,200.0,g,,
3820,579,304,,500.0,g,,
3821,9385,304,,500.0,g,,
3822,9298,304,,600.0,g,,
3823,9296,304,,600.0,g,,
3824,9291,304,,4.0,pièce,,
3825,9290,304,,4.0,pièce,,
3826,9284,304,,600.0,g,,
3827,9280,304,,600.0,g,,
3828,9272,304,,600.0,g,,
3829,9271,304,,600.0,g,,
3830,9270,304,,600.0,g,,
3831,9269,304,,300.0,g,,
3832,9262,304,,600.0,g,,
3833,9261,304,,600.0,g,,
3834,9260,304,,600.0,g,,
3835,87,305,,1.0,litre,,
3836,147,305,,200.0,ml,,
3837,146,305,,500.0,ml,,
3838,145,305,,200.0,ml,,
3839,136,305,,500.0,ml,,
3840,105,306,,40.0,g,,
3841,104,306,,30.0,g,,
3842,79,306,,250.0,g,,
3843,70,306,,125.0,g,,
3844,148,306,,40.0,g,,
3845,175,306,,30.0,g,,
3846,215,306,,200.0,g,,
3847,473,306,,100.0,g,,
3848,374,306,,50.0,g,,
3849,373,306,,150.0,g,,
