recipe_id,tag_id
1,1
1,12
1,16
1,20
1,26
10,11
30,1
31,6
37,20
38,20
39,9
40,20
42,1
42,20
43,20
44,2
44,20
45,20
46,20
48,9
51,9
52,1
53,10
58,3
63,9
64,20
68,2
69,2
71,2
72,2
72,20
73,2
81,2
81,20
83,5
85,6
86,9
104,20
106,1
107,2
108,2
109,2
110,2
111,1
117,2
119,2
122,2
124,4
126,1
129,20
137,10
139,9
141,4
142,4
144,11
145,6
148,4
152,11
153,11
154,6
159,8
161,9
173,1
178,1
180,1
183,8
185,3
186,3
187,3
188,3
189,3
190,11
194,20
196,20
197,6
209,8
211,2
217,11
220,2
221,4
222,8
223,2
225,4
225,20
226,5
228,2
233,8
234,20
236,8
238,20
239,10
240,1
241,3
242,1
244,20
246,2
247,2
248,2
249,2
250,2
251,2
252,2
253,2
254,2
255,2
256,2
257,2
258,2
259,2
260,2
261,2
262,2
265,11
266,11
267,2
269,2
270,2
270,20
271,2
272,4
272,20
272,21
273,20
273,21
274,20
274,21
275,7
275,20
275,21
276,8
276,20
276,21
277,20
277,21
278,6
278,20
278,21
279,1
279,20
279,21
280,4
280,20
280,21
281,11
281,20
281,21
282,20
282,21
284,20
287,20
288,1
292,20
293,1
294,3
295,20
297,4
297,20
298,20
321,9
321,20
322,5
322,8
322,20
323,8
324,8
325,8
326,8
327,20
328,8
329,2
330,2
331,2
335,1
339,9
339,20
340,2
342,20
343,11
344,20
345,20
346,20
347,20
348,20
349,20
350,2
350,20
351,20
353,20
354,1
354,20
355,1
355,20
356,20
357,3
361,20
362,11
363,11
364,11
364,20
365,11
368,1
372,9
375,9
380,10
381,10
382,6
383,4
383,6
384,6
385,4
385,6
386,7
388,4
388,5
389,7
390,4
394,6
394,8
396,6
397,6
399,5
410,1
412,1
422,2
423,2
424,2
425,2
427,2
440,2
441,2
442,11
445,11
466,3
467,3
471,3
476,9
477,6
478,6
479,7
482,20
490,20
502,1
508,11
510,8
511,8
513,1
514,2
520,1
521,7
522,1
525,3
526,1
531,1
532,1
535,3
536,1
545,1
547,20
548,1
551,1
556,20
561,20
563,4
573,10
574,10
576,10
578,10
582,9
583,9
584,9
586,9
589,20
595,9
597,2
597,9
601,9
2,50
13,50
2,71
13,71
2,20
13,20
2,40
13,40
3,70
14,70
3,20
14,20
3,40
14,40
4,20
15,20
5,54
5,20
16,54
16,20
6,51
17,51
6,5
17,5
6,20
17,20
8,50
19,50
8,20
19,20
8,38
19,38
10,20
21,11
21,20
11,56
22,56
11,70
22,70
11,11
22,11
23,47
23,66
23,20
24,20
25,60
25,70
26,60
26,75
26,20
28,53
28,69
28,72
28,20
28,38
29,48
29,59
29,74
29,37
29,43
30,55
30,20
31,50
31,71
31,20
12,20
12,50
12,55
12,38
12,40
7,20
18,20
7,71
18,71
7,40
18,40
9,11
20,11
9,20
20,20
9,71
20,71
27,20
27,58
27,41
