id,food_id,start_month,end_month
313,1001,7,9
314,1004,6,9
315,1005,10,3
316,1006,6,8
317,1007,10,3
318,1008,5,7
319,1009,6,8
320,1012,10,3
321,1013,7,9
322,1015,12,4
323,1016,12,4
324,1017,9,11
325,1018,5,10
326,1020,3,6
327,1020,9,11
328,1021,8,10
329,1022,4,6
330,1023,6,9
331,1027,10,12
332,1028,6,8
333,1029,11,5
334,1031,5,10
335,1033,10,3
336,1034,11,2
337,1036,6,9
338,1037,5,10
339,1038,8,9
340,1039,8,9
341,1041,10,3
342,1042,7,9
343,1044,12,3
344,1045,12,3
345,1047,7,8
346,1048,7,9
347,1049,4,11
348,1050,9,3
349,1051,7,9
350,1052,9,3
351,1053,8,4
352,1054,8,9
353,1056,3,6
354,1056,9,10
355,1057,9,10
356,1058,4,11
357,1059,6,10
358,2001,5,10
359,2003,6,11
360,2007,7,11
361,2008,4,6
362,2009,10,3
363,2010,10,3
364,2011,10,2
365,2012,10,3
366,2013,10,3
367,2014,10,3
368,2015,10,3
369,2016,10,5
370,2017,10,3
371,2018,4,10
372,2022,6,9
373,2024,9,2
374,2026,6,9
375,2031,8,3
376,2032,10,4
377,2033,5,9
378,2034,6,10
379,2035,5,6
380,2037,6,9
381,2039,4,11
382,2041,8,3
383,2045,9,3
384,2047,5,7
385,2048,7,9
386,2049,9,4
387,2052,9,2
388,2057,4,11
389,2058,4,10
390,2060,11,3
391,2061,5,10
392,2065,8,10
393,2066,10,3
394,2067,6,9
395,8002,6,9
396,8003,5,10
397,8004,4,6
398,10001,7,12
399,14005,9,2
