ID,Nom,Portions,Ingrédients
2,Overnight porridge aux graines de chia et fruits rouges,1,"""60|g|flocons d'avoine"",""15|g|graines de chia"",""200|ml|lait végétal"",""100|g|yaourt nature"",""100|g|fruits rouges mélangés"",""1|cuillère à café|sirop d'agave"",""0.5|cuillère à café|cannelle"""
3,Porridge salé aux épinards feta et œuf mollet,1,"""50|g|flocons d'avoine"",""200|ml|lait végétal"",""100|g|épinards frais"",""50|g|feta"",""1|pièce|œuf"",""1|cuillère à soupe|huile d'olive"",""1|pincée|sel"",""1|pincée|poivre"",""0.5|cuillère à café|cumin"""
6,Pudding de chia au lait de coco et coulis de mangue,1,"""40|g|graines de chia"",""250|ml|lait de coco"",""1|pièce|mangue"",""1|cuillère à soupe|jus de citron"",""1|cuillère à soupe|sirop d'agave"""
7,Granola aux noix de pécan et sirop d'érable,6,"""300|g|flocons d'avoine"",""80|g|noix de pécan"",""50|ml|sirop d'érable"",""25|ml|huile de coco"",""1|cuillère à café|cannelle"",""1|pincée|sel"""
8,Muesli Bircher aux pommes râpées et noisettes,1,"""50|g|flocons d'avoine"",""120|ml|lait"",""1|pièce|pomme"",""1|cuillère à soupe|jus de citron"",""30|g|noisettes"",""1|cuillère à soupe|lait concentré sucré"""
9,Pancakes américains fluffy au sirop d'érable,4,"""135|g|farine"",""1|cuillère à café|levure chimique"",""0.5|cuillère à café|sel"",""2|cuillère à soupe|sucre"",""130|ml|lait"",""1|pièce|œuf"",""2|cuillère à soupe|beurre"",""3|cuillère à soupe|sirop d'érable"""
10,Pancakes à la banane sans sucre ajouté,4,"""2|pièce|bananes mûres"",""2|pièce|œufs"",""80|g|farine"",""1|cuillère à café|levure chimique"",""0.5|cuillère à café|bicarbonate"",""1|pincée|sel"",""30|ml|lait"""
11,Pancakes salés au saumon fumé et aneth,4,"""150|g|farine"",""1|cuillère à café|levure chimique"",""1|pièce|œuf"",""200|ml|lait"",""1|cuillère à soupe|huile d'olive"",""100|g|saumon fumé"",""2|cuillère à soupe|aneth"",""1|pincée|sel"",""1|pincée|poivre"""
12,Porridge d'avoine pommes et cannelle,1,"""50|g|flocons d'avoine"",""200|ml|lait"",""50|ml|eau"",""1|pièce|pomme"",""1|cuillère à café|cannelle"",""1|cuillère à soupe|sirop d'érable"",""10|g|amandes effilées"""
27,Œuf poché sur toast d'avocat,2,"""2|pièce|œuf"",""2|tranche|pain de campagne"",""1|pièce|avocat"",""15|ml|huile d'olive"",""10|ml|vinaigre blanc"",""5|ml|jus de citron"",""1|pincée|sel"",""1|pincée|poivre"",""1|pincée|paprika"""
29,Œufs au plat et bacon grillé,2,"""4|pièce|œuf"",""4|tranche|bacon"",""15|ml|huile d'olive"",""2|tranche|pain de mie"",""1|pincée|sel"",""1|pincée|poivre"""
32,Yaourt grec miel et noix,2,"""400|g|yaourt grec"",""30|ml|miel"",""40|g|cerneaux de noix"",""1|pincée|cannelle"""
36,Huevos Rotos,2,"""4|pièce|œuf"",""400|g|pommes de terre"",""100|g|jambon serrano"",""60|ml|huile d'olive"",""1|pincée|sel"",""1|pincée|poivre"",""1|pincée|paprika"",""5|g|persil"""
37,Pan con Tomate,4,"""4|tranche|pain de campagne"",""3|pièce|tomates mûres"",""2|gousse|ail"",""40|ml|huile d'olive"",""1|pincée|sel"",""1|pincée|poivre"""
38,Shakshuka,4,"""6|pièce|œuf"",""800|g|tomates pelées"",""1|pièce|poivron rouge"",""1|pièce|oignon"",""2|gousse|ail"",""30|ml|huile d'olive"",""5|g|cumin"",""3|g|paprika"",""1|pincée|piment cayenne"",""5|g|sel"",""2|g|poivre"",""10|g|persil"""
39,Full English Breakfast,2,"""4|pièce|œuf"",""4|pièce|saucisses porc"",""4|tranche|bacon"",""200|g|champignons de Paris"",""2|pièce|tomates"",""200|g|haricots blancs sauce tomate"",""2|tranche|pain de mie"",""30|g|beurre"",""1|pincée|sel"",""1|pincée|poivre"""
40,Œufs Bénédictine et sauce hollandaise,2,"""4|pièce|œuf"",""2|pièce|muffins anglais"",""4|tranche|bacon"",""3|pièce|jaune d'œuf"",""125|g|beurre"",""15|ml|jus de citron"",""10|ml|vinaigre blanc"",""1|pincée|sel"",""1|pincée|poivre"",""1|pincée|cayenne"""
41,Tamagoyaki,2,"""4|pièce|œuf"",""30|ml|dashi"",""15|ml|mirin"",""15|ml|sauce soja"",""10|g|sucre"",""15|ml|huile végétale"""
42,Gaspacho Andalou,6,"""1000|g|tomates mûres"",""1|pièce|concombre"",""1|pièce|poivron rouge"",""1|pièce|oignon"",""2|gousse|ail"",""150|g|pain de mie"",""60|ml|huile d'olive"",""30|ml|vinaigre de xérès"",""5|g|sel"",""2|g|poivre"",""5|g|sucre"",""200|ml|eau"""
43,Salmorejo de Cordoue et ses garnitures,4,"""1000|g|tomates mûres"",""200|g|pain rassis"",""100|ml|huile d'olive"",""2|pièce|ail"",""5|g|sel"",""50|g|jambon ibérique"",""2|pièce|oeufs durs"""
45,Velouté froid de courgettes au basilic,4,"""800|g|courgettes"",""1|pièce|oignon"",""30|ml|huile d'olive"",""2|pièce|ail"",""20|g|basilic"",""100|ml|crème fraîche"",""300|ml|eau"",""5|g|sel"",""2|g|poivre"""
57,Bò bún vietnamien au bœuf,4,"""250|g|vermicelles de riz"",""400|g|bœuf"",""100|g|salade"",""100|g|carottes"",""100|g|concombre"",""20|g|menthe"",""20|g|coriandre"",""50|ml|nuoc mam"",""30|g|cacahuètes"",""30|ml|huile végétale"",""2|pièce|ail"",""1|tige|citronnelle"",""30|ml|jus de citron"",""10|g|sucre"""
58,Houmous de pois chiches,6,"""400|g|pois chiches cuits"",""60|g|tahini"",""2|pièce|ail"",""60|ml|jus de citron"",""60|ml|huile d'olive"",""5|g|sel"",""3|g|cumin"",""50|ml|eau de cuisson"""
59,Baba Ganoush,4,"""800|g|aubergines"",""40|g|tahini"",""2|pièce|ail"",""40|ml|jus de citron"",""40|ml|huile d'olive"",""5|g|sel"",""2|g|cumin"",""2|g|paprika"""
60,Tzatziki grec au concombre et à l'aneth,4,"""500|g|yaourt grec"",""300|g|concombre"",""2|pièce|ail"",""15|ml|huile d'olive"",""20|ml|jus de citron"",""10|g|aneth"",""5|g|sel"",""2|g|poivre"""
61,Moutabal libanais,4,"""600|g|aubergines"",""50|g|tahini"",""100|g|yaourt grec"",""2|pièce|ail"",""30|ml|jus de citron"",""30|ml|huile d'olive"",""5|g|sel"",""2|g|cumin"""
62,Tapenade d'olives noires de Provence,6,"""250|g|olives noires dénoyautées"",""30|g|câpres"",""30|g|anchois"",""2|pièce|ail"",""80|ml|huile d'olive"",""5|g|thym"",""2|g|poivre"""
