id,name,role
505,Sorbet maison (citron, framboise),DESSERT
506,Nice cream (glace à la banane congelée),DESSERT
507,Energy balls aux dattes et noix de cajou,PLAT_PRINCIPAL
508,Barres de céréales maison,PLAT_PRINCIPAL
509,Yaourt glacé (frozen yogurt) aux fruits,PLAT_PRINCIPAL
510,Mousse d'avocat au cacao,DESSERT
511,Pommes en tranches et beurre de cacahuètes,PLAT_PRINCIPAL
512,Baguette tradition française,PLAT_PRINCIPAL
520,Naans indiens au fromage,PLAT_PRINCIPAL
521,Chapatis,PLAT_PRINCIPAL
523,Bretzels alsaciens,PLAT_PRINCIPAL
524,Ciabatta italienne,PLAT_PRINCIPAL
526,Croissants au beurre,PLAT_PRINCIPAL
531,Chinois (gâteau brioché à la crème),DESSERT
533,Tripes à la mode de Caen,PLAT_PRINCIPAL
534,Potjevleesch flamand,PLAT_PRINCIPAL
536,Daube niçoise,PLAT_PRINCIPAL
537,Pieds paquets marseillais,PLAT_PRINCIPAL
538,Alouettes sans tête provençales,PLAT_PRINCIPAL
539,Fricassée de volaille à l'angevine,PLAT_PRINCIPAL
540,Poule au pot,PLAT_PRINCIPAL
541,Coquilles Saint-Jacques à la bretonne,PLAT_PRINCIPAL
542,Cotriade bretonne,PLAT_PRINCIPAL
543,Matelote d'anguille,PLAT_PRINCIPAL
544,Lamproie à la bordelaise,PLAT_PRINCIPAL
545,Ttoro (soupe de poisson basque),ENTREE
546,Morue à la lyonnaise,PLAT_PRINCIPAL
547,Quenelles de brochet sauce Nantua,PLAT_PRINCIPAL
548,Grenouilles en persillade,PLAT_PRINCIPAL
549,Fricassée d'escargots,PLAT_PRINCIPAL
550,Caillettes ardéchoises,PLAT_PRINCIPAL
551,Diots de Savoie au vin blanc,PLAT_PRINCIPAL
553,Farçous aveyronnais,PLAT_PRINCIPAL
554,Crique ardéchoise (galette de pommes de terre),PLAT_PRINCIPAL
558,Tarte à l'oignon alsacienne,DESSERT
559,Salsifis à la crème,DESSERT
562,Pan bagnat (le vrai),PLAT_PRINCIPAL
563,Soupe au pistou,ENTREE
564,Tourton des Alpes,PLAT_PRINCIPAL
565,Oreilles d'âne du Valgaudemar (gratin d'épinards),ACCOMPAGNEMENT
566,Pôchouse de Verdun-sur-le-Doubs (version légumes),PLAT_PRINCIPAL
568,Flaugnarde aux pommes,PLAT_PRINCIPAL
569,Millassou (galette de pomme de terre),PLAT_PRINCIPAL
570,Escargots de Bourgogne,PLAT_PRINCIPAL
571,Lentilles vertes du Berry en salade,ENTREE
572,Ceviche péruvien,PLAT_PRINCIPAL
573,Lomo saltado (sauté de bœuf péruvien),PLAT_PRINCIPAL
574,Aji de gallina (poulet en sauce pimentée),PLAT_PRINCIPAL
575,Feijoada brésilienne,PLAT_PRINCIPAL
576,Pão de queijo (pains au fromage brésiliens),PLAT_PRINCIPAL
577,Moqueca de peixe (ragoût de poisson brésilien),PLAT_PRINCIPAL
578,Ropa vieja cubaine (bœuf effiloché),PLAT_PRINCIPAL
579,Picadillo,PLAT_PRINCIPAL
580,Arroz con pollo,PLAT_PRINCIPAL
581,Sancocho (soupe colombienne),ENTREE
582,Bandeja paisa (plat complet colombien),PLAT_PRINCIPAL
583,Chiles rellenos (piments farcis mexicains),PLAT_PRINCIPAL
584,Mole poblano,PLAT_PRINCIPAL
585,Cochinita pibil,PLAT_PRINCIPAL
586,Pozole (soupe mexicaine),ENTREE
587,Tamales,PLAT_PRINCIPAL
588,Pastel de choclo (gâteau de maïs chilien),DESSERT
589,Humitas,PLAT_PRINCIPAL
590,Gallo pinto (riz et haricots du Costa Rica),ACCOMPAGNEMENT
591,Patacones (bananes plantain frites),ACCOMPAGNEMENT
595,Pastilla au poulet et aux amandes,PLAT_PRINCIPAL
596,Rfissa marocaine (poulet, lentilles, msemen),PLAT_PRINCIPAL
597,Tanjia marrakchia,PLAT_PRINCIPAL
598,Bissara (soupe de fèves),ENTREE
599,Zaalouk (salade d'aubergines cuite),ENTREE
600,Poulet Yassa sénégalais,PLAT_PRINCIPAL
601,Mafé (sauce à base d'arachide),PLAT_PRINCIPAL
602,Thieboudienne (riz au poisson sénégalais),ACCOMPAGNEMENT
603,Doro Wat (ragoût de poulet éthiopien),PLAT_PRINCIPAL
604,Injera (crêpe éthiopienne au teff),PLAT_PRINCIPAL
605,Shish Taouk (brochettes de poulet libanaises),PLAT_PRINCIPAL
606,Shawarma,PLAT_PRINCIPAL
607,Manakish au zaatar (pizza libanaise),PLAT_PRINCIPAL
608,Kibbeh (boulettes de boulgour et viande),PLAT_PRINCIPAL
609,Dolmas (feuilles de vigne farcies),PLAT_PRINCIPAL
610,Shakshuka (version plus élaborée),PLAT_PRINCIPAL
611,Fatteh (plat libanais à base de pain pita),PLAT_PRINCIPAL
8772,Pommes noisettes,ACCOMPAGNEMENT
8773,Riz basmati,ACCOMPAGNEMENT
